COARI	-63.143	-4.082
    19     7  1983     1269.000000
    20     7  1983     1251.000000
    21     7  1983     1235.000000
    22     7  1983     1210.000000
    23     7  1983     1188.000000
    24     7  1983     1161.000000
    25     7  1983     1133.000000
    26     7  1983     1118.000000
    27     7  1983     1091.000000
    28     7  1983     1065.000000
    29     7  1983     1040.000000
    30     7  1983     1013.000000
    31     7  1983      984.000000
     1     8  1983      964.000000
     2     8  1983      941.000000
     3     8  1983      922.000000
     4     8  1983      904.000000
     5     8  1983      886.000000
     6     8  1983      870.000000
     7     8  1983      856.000000
     8     8  1983      841.000000
     9     8  1983      827.000000
    10     8  1983      816.000000
    11     8  1983      800.000000
    12     8  1983      786.000000
    13     8  1983      775.000000
    14     8  1983      764.000000
    15     8  1983      752.000000
    16     8  1983      743.000000
    17     8  1983      732.000000
    18     8  1983      722.000000
    19     8  1983      713.000000
    20     8  1983      704.000000
    21     8  1983      695.000000
    22     8  1983      685.000000
    23     8  1983      676.000000
    24     8  1983      666.000000
    25     8  1983      658.000000
    26     8  1983      648.000000
    27     8  1983      637.000000
    28     8  1983      628.000000
    29     8  1983      621.000000
    30     8  1983      613.000000
    31     8  1983      607.000000
     1     9  1983      604.000000
     2     9  1983      604.000000
     3     9  1983      605.000000
     4     9  1983      608.000000
     5     9  1983      612.000000
     6     9  1983      616.000000
     7     9  1983      622.000000
     8     9  1983      625.000000
     9     9  1983      630.000000
    10     9  1983      634.000000
    11     9  1983      637.000000
    12     9  1983      639.000000
    13     9  1983      639.000000
    14     9  1983      640.000000
    15     9  1983      641.000000
    16     9  1983      642.000000
    17     9  1983      645.000000
    18     9  1983      647.000000
    19     9  1983      650.000000
    20     9  1983      652.000000
    21     9  1983      651.000000
    22     9  1983      648.000000
    23     9  1983      646.000000
    24     9  1983      644.000000
    25     9  1983      642.000000
    26     9  1983      641.000000
    27     9  1983      641.000000
    28     9  1983      641.000000
    29     9  1983      638.000000
    30     9  1983      632.000000
     1    10  1983      627.000000
     2    10  1983      621.000000
     3    10  1983      614.000000
     4    10  1983      606.000000
     5    10  1983      594.000000
     6    10  1983      584.000000
     7    10  1983      575.000000
     8    10  1983      560.000000
     9    10  1983      542.000000
    10    10  1983      526.000000
    11    10  1983      518.000000
    12    10  1983      508.000000
    13    10  1983      502.000000
    14    10  1983      498.000000
    15    10  1983      498.000000
    16    10  1983      502.000000
    17    10  1983      510.000000
    18    10  1983      521.000000
    19    10  1983      534.000000
    20    10  1983      536.000000
    21    10  1983      538.000000
    22    10  1983      548.000000
    23    10  1983      557.000000
    24    10  1983      566.000000
    25    10  1983      578.000000
    26    10  1983      586.000000
    27    10  1983      594.000000
    28    10  1983      604.000000
    29    10  1983      612.000000
    30    10  1983      624.000000
    31    10  1983      636.000000
     1    11  1983      645.000000
     2    11  1983      650.000000
     3    11  1983      657.000000
     4    11  1983      662.000000
     5    11  1983      670.000000
     6    11  1983      680.000000
     7    11  1983      692.000000
     8    11  1983      708.000000
     9    11  1983      720.000000
    10    11  1983      733.000000
    11    11  1983      747.000000
    12    11  1983      758.000000
    13    11  1983      770.000000
    14    11  1983      782.000000
    15    11  1983      791.000000
    16    11  1983      800.000000
    17    11  1983      808.000000
    18    11  1983      814.000000
    19    11  1983      822.000000
    20    11  1983      826.000000
    21    11  1983      836.000000
    22    11  1983      840.000000
    23    11  1983      843.000000
    24    11  1983      843.000000
    25    11  1983      843.000000
    26    11  1983      843.000000
    27    11  1983      845.000000
    28    11  1983      844.000000
    29    11  1983      844.000000
    30    11  1983      839.000000
     1    12  1983      836.000000
     2    12  1983      830.000000
     3    12  1983      828.000000
     4    12  1983      826.000000
     5    12  1983      827.000000
     6    12  1983      828.000000
     7    12  1983      835.000000
     8    12  1983      842.000000
     9    12  1983      852.000000
    10    12  1983      864.000000
    11    12  1983      876.000000
    12    12  1983      891.000000
    13    12  1983      904.000000
    14    12  1983      919.000000
    15    12  1983      930.000000
    16    12  1983      940.000000
    17    12  1983      950.000000
    18    12  1983      961.000000
    19    12  1983      970.000000
    20    12  1983      980.000000
    21    12  1983      991.000000
    22    12  1983      999.000000
    23    12  1983     1008.000000
    24    12  1983     1014.000000
    25    12  1983     1020.000000
    26    12  1983     1030.000000
    27    12  1983     1036.000000
    28    12  1983     1040.000000
    29    12  1983     1047.000000
    30    12  1983     1052.000000
    31    12  1983     1060.000000
     1     1  1984     1066.000000
     2     1  1984     1074.000000
     3     1  1984     1080.000000
     4     1  1984     1086.000000
     5     1  1984     1090.000000
     6     1  1984     1096.000000
     7     1  1984     1102.000000
     8     1  1984     1107.000000
     9     1  1984     1113.000000
    10     1  1984     1120.000000
    11     1  1984     1126.000000
    12     1  1984     1130.000000
    13     1  1984     1132.000000
    14     1  1984     1134.000000
    15     1  1984     1135.000000
    16     1  1984     1136.000000
    17     1  1984     1135.000000
    18     1  1984     1132.000000
    19     1  1984     1130.000000
    20     1  1984     1128.000000
    21     1  1984     1124.000000
    22     1  1984     1122.000000
    23     1  1984     1120.000000
    24     1  1984     1116.000000
    25     1  1984     1113.000000
    26     1  1984     1110.000000
    27     1  1984     1108.000000
    28     1  1984     1110.000000
    29     1  1984     1110.000000
    30     1  1984     1111.000000
    31     1  1984     1112.000000
     1     2  1984     1113.000000
     2     2  1984     1114.000000
     3     2  1984     1114.000000
     4     2  1984     1116.000000
     5     2  1984     1118.000000
     6     2  1984     1120.000000
     7     2  1984     1122.000000
     8     2  1984     1128.000000
     9     2  1984     1133.000000
    10     2  1984     1138.000000
    11     2  1984     1144.000000
    12     2  1984     1152.000000
    13     2  1984     1162.000000
    14     2  1984     1169.000000
    15     2  1984     1180.000000
    16     2  1984     1188.000000
    17     2  1984     1196.000000
    18     2  1984     1204.000000
    19     2  1984     1212.000000
    20     2  1984     1219.000000
    21     2  1984     1228.000000
