ASSISBRASIL	-69.550	-10.933
    25     3  1983      308.000000
    26     3  1983      307.000000
    27     3  1983      304.000000
    28     3  1983      307.000000
    29     3  1983      323.000000
    30     3  1983      319.000000
    31     3  1983      350.000000
     1     4  1983      337.000000
     2     4  1983      310.000000
     3     4  1983      302.000000
     4     4  1983      298.000000
     5     4  1983      304.000000
     6     4  1983      341.000000
     7     4  1983      355.000000
     8     4  1983      355.000000
     9     4  1983      334.000000
    10     4  1983      324.000000
    11     4  1983      321.000000
    12     4  1983      317.000000
    13     4  1983      335.000000
    14     4  1983      312.000000
    15     4  1983      311.000000
    16     4  1983      308.000000
    17     4  1983      306.000000
    18     4  1983      296.000000
    19     4  1983      313.000000
    20     4  1983      304.000000
    21     4  1983      308.000000
    22     4  1983      339.000000
    23     4  1983      343.000000
    24     4  1983      344.000000
    25     4  1983      349.000000
    26     4  1983      306.000000
    27     4  1983      290.000000
    28     4  1983      278.000000
    29     4  1983      272.000000
    30     4  1983      266.000000
     1     5  1983      310.000000
     2     5  1983      325.000000
     3     5  1983      322.000000
     4     5  1983      310.000000
     5     5  1983      308.000000
     6     5  1983      334.000000
     7     5  1983      293.000000
     8     5  1983      292.000000
     9     5  1983      308.000000
    10     5  1983      287.000000
    11     5  1983      269.000000
    12     5  1983      263.000000
    13     5  1983      316.000000
    14     5  1983      350.000000
    15     5  1983      528.000000
    16     5  1983      419.000000
    17     5  1983      382.000000
    18     5  1983      370.000000
    19     5  1983      359.000000
    20     5  1983      342.000000
    21     5  1983      328.000000
    22     5  1983      316.000000
    23     5  1983      388.000000
    24     5  1983      511.000000
    25     5  1983      400.000000
    26     5  1983      342.000000
    27     5  1983      290.000000
    28     5  1983      279.000000
    29     5  1983      260.000000
    30     5  1983      271.000000
    31     5  1983      295.000000
     1     6  1983      296.000000
     2     6  1983      283.000000
     3     6  1983      295.000000
     4     6  1983      294.000000
     5     6  1983      287.000000
     6     6  1983      283.000000
     7     6  1983      279.000000
     8     6  1983      275.000000
     9     6  1983      271.000000
    10     6  1983      276.000000
    11     6  1983      287.000000
    12     6  1983      295.000000
    13     6  1983      282.000000
    14     6  1983      275.000000
    15     6  1983      269.000000
    16     6  1983      267.000000
    17     6  1983      266.000000
    18     6  1983      264.000000
    19     6  1983      264.000000
    20     6  1983      264.000000
    21     6  1983      264.000000
    22     6  1983      262.000000
    23     6  1983      262.000000
    24     6  1983      260.000000
    25     6  1983      258.000000
    26     6  1983      266.000000
    27     6  1983      277.000000
    28     6  1983      267.000000
    29     6  1983      263.000000
    30     6  1983      259.000000
     1     7  1983      257.000000
     2     7  1983      255.000000
     3     7  1983      254.000000
     4     7  1983      254.000000
     5     7  1983      254.000000
     6     7  1983      254.000000
     7     7  1983      253.000000
     8     7  1983      251.000000
     9     7  1983      250.000000
    10     7  1983      250.000000
    11     7  1983      250.000000
    12     7  1983      250.000000
    13     7  1983      248.000000
    14     7  1983      248.000000
    15     7  1983      248.000000
    16     7  1983      248.000000
    17     7  1983      252.000000
    18     7  1983      257.000000
    19     7  1983      256.000000
    20     7  1983      256.000000
    21     7  1983      258.000000
    22     7  1983      254.000000
    23     7  1983      250.000000
    24     7  1983      248.000000
    25     7  1983      246.000000
    26     7  1983      246.000000
    27     7  1983      246.000000
    28     7  1983      246.000000
    29     7  1983      246.000000
    30     7  1983      246.000000
    31     7  1983      246.000000
     1     8  1983      246.000000
     2     8  1983      244.000000
     3     8  1983      244.000000
     4     8  1983      244.000000
     5     8  1983      244.000000
     6     8  1983      242.000000
     7     8  1983      242.000000
     8     8  1983      242.000000
     9     8  1983      242.000000
    10     8  1983      242.000000
    11     8  1983      242.000000
    12     8  1983      242.000000
    13     8  1983      241.000000
    14     8  1983      240.000000
    15     8  1983      245.000000
    16     8  1983      244.000000
    17     8  1983      240.000000
    18     8  1983      240.000000
    19     8  1983      240.000000
    20     8  1983      240.000000
    21     8  1983      240.000000
    22     8  1983      240.000000
    23     8  1983      240.000000
    24     8  1983      240.000000
    25     8  1983      240.000000
    26     8  1983      240.000000
    27     8  1983      240.000000
    28     8  1983      240.000000
    29     8  1983      240.000000
    30     8  1983      245.000000
    31     8  1983      242.000000
     1     9  1983      243.000000
     2     9  1983      242.000000
     3     9  1983      242.000000
     4     9  1983      242.000000
     5     9  1983      241.000000
     6     9  1983      240.000000
     7     9  1983      238.000000
     8     9  1983      241.000000
     9     9  1983      242.000000
    10     9  1983      246.000000
    11     9  1983      246.000000
    12     9  1983      243.000000
    13     9  1983      240.000000
    14     9  1983      240.000000
    15     9  1983      238.000000
    16     9  1983      236.000000
    17     9  1983      236.000000
    18     9  1983      235.000000
    19     9  1983      234.000000
    20     9  1983      234.000000
    21     9  1983      232.000000
    22     9  1983      232.000000
    23     9  1983      234.000000
    24     9  1983      234.000000
    25     9  1983      232.000000
    26     9  1983      233.000000
    27     9  1983      235.000000
    28     9  1983      236.000000
    29     9  1983      235.000000
    30     9  1983      234.000000
     1    10  1983      234.000000
     2    10  1983      234.000000
     3    10  1983      234.000000
     4    10  1983      234.000000
     5    10  1983      234.000000
     6    10  1983      234.000000
     7    10  1983      236.000000
     8    10  1983      235.000000
     9    10  1983      234.000000
    10    10  1983      234.000000
    11    10  1983      232.000000
    12    10  1983      233.000000
    13    10  1983      234.000000
    14    10  1983      234.000000
    15    10  1983      239.000000
    16    10  1983      239.000000
    17    10  1983      236.000000
    18    10  1983      236.000000
    19    10  1983      235.000000
    20    10  1983      234.000000
    21    10  1983      234.000000
    22    10  1983      232.000000
    23    10  1983      233.000000
    24    10  1983      239.000000
    25    10  1983      236.000000
    26    10  1983      234.000000
    27    10  1983      234.000000
