FLORIANOPEIXOTO	-67.368	-9.051
    24     8  1983      437.000000
    25     8  1983      435.000000
    26     8  1983      432.000000
    27     8  1983      430.000000
    28     8  1983      431.000000
    29     8  1983      437.000000
    30     8  1983      443.000000
    31     8  1983      449.000000
     1     9  1983      456.000000
     2     9  1983      462.000000
     3     9  1983      467.000000
     4     9  1983      470.000000
     5     9  1983      469.000000
     6     9  1983      465.000000
     7     9  1983      461.000000
     8     9  1983      458.000000
     9     9  1983      454.000000
    10     9  1983      451.000000
    11     9  1983      449.000000
    12     9  1983      446.000000
    13     9  1983      443.000000
    14     9  1983      440.000000
    15     9  1983      437.000000
    16     9  1983      433.000000
    17     9  1983      431.000000
    18     9  1983      432.000000
    19     9  1983      434.000000
    20     9  1983      435.000000
    21     9  1983      431.000000
    22     9  1983      428.000000
    23     9  1983      425.000000
    24     9  1983      423.000000
    25     9  1983      421.000000
    26     9  1983      418.000000
    27     9  1983      416.000000
    28     9  1983      416.000000
    29     9  1983      419.000000
    30     9  1983      421.000000
     1    10  1983      425.000000
     2    10  1983      425.000000
     3    10  1983      422.000000
     4    10  1983      417.000000
     5    10  1983      414.000000
     6    10  1983      412.000000
     7    10  1983      415.000000
     8    10  1983      420.000000
     9    10  1983      424.000000
    10    10  1983      430.000000
    11    10  1983      435.000000
    12    10  1983      439.000000
    13    10  1983      439.000000
    14    10  1983      436.000000
    15    10  1983      432.000000
    16    10  1983      429.000000
    17    10  1983      426.000000
    18    10  1983      423.000000
    19    10  1983      420.000000
    20    10  1983      421.000000
    21    10  1983      426.000000
    22    10  1983      431.000000
    23    10  1983      435.000000
    24    10  1983      438.000000
    25    10  1983      443.000000
    26    10  1983      448.000000
    27    10  1983      454.000000
    28    10  1983      459.000000
    29    10  1983      464.000000
    30    10  1983      467.000000
    31    10  1983      472.000000
     1    11  1983      473.000000
     2    11  1983      469.000000
     3    11  1983      465.000000
     4    11  1983      469.000000
     5    11  1983      474.000000
     6    11  1983      478.000000
     7    11  1983      483.000000
     8    11  1983      484.000000
     9    11  1983      488.000000
    10    11  1983      494.000000
    11    11  1983      500.000000
    12    11  1983      509.000000
    13    11  1983      519.000000
    14    11  1983      533.000000
    15    11  1983      563.000000
    16    11  1983      591.000000
    17    11  1983      624.000000
    18    11  1983      664.000000
    19    11  1983      712.000000
    20    11  1983      776.000000
    21    11  1983      847.000000
    22    11  1983      885.000000
    23    11  1983      907.000000
    24    11  1983      920.000000
    25    11  1983      917.000000
    26    11  1983      897.000000
    27    11  1983      867.000000
    28    11  1983      828.000000
    29    11  1983      793.000000
    30    11  1983      793.000000
     1    12  1983      816.000000
     2    12  1983      844.000000
     3    12  1983      877.000000
     4    12  1983      912.000000
     5    12  1983      954.000000
     6    12  1983      993.000000
     7    12  1983     1023.000000
     8    12  1983     1040.000000
     9    12  1983     1034.000000
    10    12  1983     1003.000000
    11    12  1983      955.000000
    12    12  1983      902.000000
    13    12  1983      861.000000
    14    12  1983      832.000000
    15    12  1983      812.000000
    16    12  1983      796.000000
    17    12  1983      779.000000
    18    12  1983      769.000000
    19    12  1983      764.000000
    20    12  1983      753.000000
    21    12  1983      765.000000
    22    12  1983      809.000000
    23    12  1983      849.000000
    24    12  1983      894.000000
    25    12  1983      940.000000
    26    12  1983      986.000000
    27    12  1983     1031.000000
    28    12  1983     1068.000000
    29    12  1983     1098.000000
    30    12  1983     1127.000000
    31    12  1983     1154.000000
     1     1  1984     1180.000000
     2     1  1984     1200.000000
     3     1  1984     1222.000000
     4     1  1984     1244.000000
     5     1  1984     1262.000000
     6     1  1984     1280.000000
     7     1  1984     1297.000000
     8     1  1984     1314.000000
     9     1  1984     1331.000000
    10     1  1984     1346.000000
    11     1  1984     1364.000000
    12     1  1984     1379.000000
    13     1  1984     1394.000000
    14     1  1984     1410.000000
    15     1  1984     1426.000000
    16     1  1984     1441.000000
    17     1  1984     1456.000000
    18     1  1984     1466.000000
    19     1  1984     1471.000000
    20     1  1984     1469.000000
    21     1  1984     1454.000000
    22     1  1984     1438.000000
    23     1  1984     1416.000000
    24     1  1984     1392.000000
    25     1  1984     1371.000000
    26     1  1984     1359.000000
    27     1  1984     1358.000000
    28     1  1984     1374.000000
    29     1  1984     1398.000000
    30     1  1984     1418.000000
    31     1  1984     1436.000000
     1     2  1984     1450.000000
     2     2  1984     1464.000000
     3     2  1984     1478.000000
     4     2  1984     1494.000000
     5     2  1984     1512.000000
     6     2  1984     1532.000000
     7     2  1984     1550.000000
     8     2  1984     1566.000000
     9     2  1984     1584.000000
    10     2  1984     1613.000000
    11     2  1984     1640.000000
    12     2  1984     1672.000000
    13     2  1984     1703.000000
    14     2  1984     1722.000000
    15     2  1984     1733.000000
    16     2  1984     1744.000000
    17     2  1984     1757.000000
    18     2  1984     1768.000000
    19     2  1984     1775.000000
    20     2  1984     1768.000000
    21     2  1984     1757.000000
    22     2  1984     1748.000000
    23     2  1984     1748.000000
    24     2  1984     1757.000000
    25     2  1984     1769.000000
    26     2  1984     1778.000000
    27     2  1984     1772.000000
    28     2  1984     1762.000000
    29     2  1984     1750.000000
     1     3  1984     1736.000000
     2     3  1984     1720.000000
     3     3  1984     1701.000000
     4     3  1984     1687.000000
     5     3  1984     1678.000000
     6     3  1984     1665.000000
     7     3  1984     1652.000000
     8     3  1984     1643.000000
     9     3  1984     1632.000000
    10     3  1984     1623.000000
    11     3  1984     1613.000000
    12     3  1984     1606.000000
    13     3  1984     1600.000000
    14     3  1984     1596.000000
    15     3  1984     1594.000000
    16     3  1984     1596.000000
    17     3  1984     1596.000000
    18     3  1984     1592.000000
    19     3  1984     1580.000000
    20     3  1984     1560.000000
    21     3  1984     1548.000000
    22     3  1984     1544.000000
    23     3  1984     1546.000000
    24     3  1984     1554.000000
    25     3  1984     1562.000000
    26     3  1984     1570.000000
    27     3  1984     1578.000000
    28     3  1984     1584.000000
    29     3  1984     1584.000000
    30     3  1984     1579.000000
    31     3  1984     1579.000000
     1     4  1984     1581.000000
     2     4  1984     1576.000000
     3     4  1984     1572.000000
     4     4  1984     1578.000000
     5     4  1984     1589.000000
     6     4  1984     1602.000000
     7     4  1984     1615.000000
     8     4  1984     1628.000000
     9     4  1984     1642.000000
    10     4  1984     1664.000000
    11     4  1984     1682.000000
    12     4  1984     1700.000000
    13     4  1984     1714.000000
    14     4  1984     1731.000000
    15     4  1984     1744.000000
    16     4  1984     1750.000000
    17     4  1984     1746.000000
    18     4  1984     1735.000000
    19     4  1984     1718.000000
    20     4  1984     1696.000000
    21     4  1984     1672.000000
    22     4  1984     1650.000000
    23     4  1984     1626.000000
    24     4  1984     1601.000000
    25     4  1984     1578.000000
    26     4  1984     1560.000000
    27     4  1984     1542.000000
    28     4  1984     1530.000000
    29     4  1984     1520.000000
    30     4  1984     1523.000000
     1     5  1984     1534.000000
     2     5  1984     1547.000000
     3     5  1984     1558.000000
     4     5  1984     1558.000000
     5     5  1984     1544.000000
     6     5  1984     1526.000000
     7     5  1984     1502.000000
     8     5  1984     1478.000000
     9     5  1984     1458.000000
    10     5  1984     1438.000000
    11     5  1984     1415.000000
    12     5  1984     1389.000000
    13     5  1984     1361.000000
    14     5  1984     1336.000000
    15     5  1984     1310.000000
    16     5  1984     1288.000000
    17     5  1984     1266.000000
    18     5  1984     1242.000000
    19     5  1984     1218.000000
    20     5  1984     1194.000000
    21     5  1984     1186.000000
    22     5  1984     1198.000000
    23     5  1984     1222.000000
    24     5  1984     1233.000000
    25     5  1984     1226.000000
    26     5  1984     1207.000000
    27     5  1984     1182.000000
    28     5  1984     1157.000000
    29     5  1984     1129.000000
    30     5  1984     1104.000000
    31     5  1984     1080.000000
     1     6  1984     1053.000000
     2     6  1984     1022.000000
     3     6  1984      993.000000
     4     6  1984      970.000000
     5     6  1984      953.000000
     6     6  1984      929.000000
     7     6  1984      899.000000
     8     6  1984      865.000000
     9     6  1984      820.000000
    10     6  1984      780.000000
    11     6  1984      750.000000
    12     6  1984      726.000000
    13     6  1984      705.000000
    14     6  1984      686.000000
    15     6  1984      666.000000
    16     6  1984      650.000000
    17     6  1984      642.000000
    18     6  1984      636.000000
    19     6  1984      631.000000
    20     6  1984      626.000000
    21     6  1984      620.000000
    22     6  1984      616.000000
    23     6  1984      612.000000
    24     6  1984      609.000000
    25     6  1984      606.000000
    26     6  1984      602.000000
    27     6  1984      599.000000
    28     6  1984      594.000000
    29     6  1984      590.000000
    30     6  1984      585.000000
     1     7  1984      581.000000
     2     7  1984      576.000000
     3     7  1984      574.000000
     4     7  1984      570.000000
     5     7  1984      567.000000
     6     7  1984      564.000000
     7     7  1984      560.000000
     8     7  1984      558.000000
     9     7  1984      557.000000
    10     7  1984      558.000000
    11     7  1984      560.000000
    12     7  1984      565.000000
    13     7  1984      568.000000
    14     7  1984      565.000000
    15     7  1984      560.000000
    16     7  1984      556.000000
    17     7  1984      552.000000
    18     7  1984      550.000000
    19     7  1984      550.000000
    20     7  1984      548.000000
    21     7  1984      546.000000
    22     7  1984      546.000000
    23     7  1984      543.000000
    24     7  1984      540.000000
    25     7  1984      536.000000
    26     7  1984      533.000000
    27     7  1984      528.000000
    28     7  1984      526.000000
    29     7  1984      524.000000
    30     7  1984      520.000000
    31     7  1984      517.000000
     1     8  1984      514.000000
     2     8  1984      512.000000
     3     8  1984      508.000000
     4     8  1984      506.000000
     5     8  1984      504.000000
     6     8  1984      501.000000
     7     8  1984      498.000000
     8     8  1984      498.000000
     9     8  1984      498.000000
    10     8  1984      496.000000
    11     8  1984      494.000000
    12     8  1984      492.000000
    13     8  1984      490.000000
    14     8  1984      489.000000
    15     8  1984      488.000000
    16     8  1984      486.000000
    17     8  1984      484.000000
    18     8  1984      482.000000
    19     8  1984      480.000000
    20     8  1984      480.000000
    21     8  1984      478.000000
    22     8  1984      476.000000
    23     8  1984      474.000000
    24     8  1984      472.000000
    25     8  1984      470.000000
    26     8  1984      468.000000
    27     8  1984      466.000000
    28     8  1984      464.000000
    29     8  1984      460.000000
    30     8  1984      456.000000
    31     8  1984      457.000000
     1     9  1984      463.000000
     2     9  1984      469.000000
     3     9  1984      474.000000
     4     9  1984      473.000000
     5     9  1984      466.000000
     6     9  1984      460.000000
     7     9  1984      456.000000
     8     9  1984      454.000000
     9     9  1984      449.000000
    10     9  1984      446.000000
    11     9  1984      440.000000
    12     9  1984      436.000000
    13     9  1984      432.000000
    14     9  1984      428.000000
    15     9  1984      429.000000
    16     9  1984      436.000000
    17     9  1984      441.000000
    18     9  1984      449.000000
    19     9  1984      457.000000
    20     9  1984      466.000000
    21     9  1984      472.000000
    22     9  1984      480.000000
    23     9  1984      490.000000
    24     9  1984      490.000000
    25     9  1984      488.000000
    26     9  1984      498.000000
    27     9  1984      518.000000
    28     9  1984      528.000000
    29     9  1984      536.000000
    30     9  1984      550.000000
     1    10  1984      550.000000
     2    10  1984      540.000000
     3    10  1984      524.000000
     4    10  1984      512.000000
     5    10  1984      500.000000
     6    10  1984      490.000000
     7    10  1984      482.000000
     8    10  1984      478.000000
     9    10  1984      482.000000
    10    10  1984      493.000000
    11    10  1984      512.000000
    12    10  1984      528.000000
    13    10  1984      542.000000
    14    10  1984      558.000000
    15    10  1984      572.000000
    16    10  1984      586.000000
    17    10  1984      602.000000
    18    10  1984      620.000000
    19    10  1984      630.000000
    20    10  1984      623.000000
    21    10  1984      612.000000
    22    10  1984      613.000000
    23    10  1984      632.000000
