PEDRASNEGRAS	-62.899	-12.851
    16    12  1983      332.000000
    17    12  1983      333.000000
    18    12  1983      335.000000
    19    12  1983      338.000000
    20    12  1983      340.000000
    21    12  1983      346.000000
    22    12  1983      358.000000
    23    12  1983      370.000000
    24    12  1983      377.000000
    25    12  1983      384.000000
    26    12  1983      392.000000
    27    12  1983      398.000000
    28    12  1983      408.000000
    29    12  1983      417.000000
    30    12  1983      426.000000
    31    12  1983      434.000000
     1     1  1984      442.000000
     2     1  1984      451.000000
     3     1  1984      458.000000
     4     1  1984      464.000000
     5     1  1984      472.000000
     6     1  1984      478.000000
     7     1  1984      485.000000
     8     1  1984      490.000000
     9     1  1984      498.000000
    10     1  1984      506.000000
    11     1  1984      514.000000
    12     1  1984      518.000000
    13     1  1984      520.000000
    14     1  1984      524.000000
    15     1  1984      534.000000
    16     1  1984      545.000000
    17     1  1984      552.000000
    18     1  1984      560.000000
    19     1  1984      564.000000
    20     1  1984      566.000000
    21     1  1984      569.000000
    22     1  1984      574.000000
    23     1  1984      579.000000
    24     1  1984      584.000000
    25     1  1984      588.000000
    26     1  1984      594.000000
    27     1  1984      598.000000
    28     1  1984      602.000000
    29     1  1984      604.000000
    30     1  1984      607.000000
    31     1  1984      612.000000
     1     2  1984      616.000000
     2     2  1984      620.000000
     3     2  1984      622.000000
     4     2  1984      624.000000
     5     2  1984      628.000000
     6     2  1984      631.000000
     7     2  1984      635.000000
     8     2  1984      642.000000
     9     2  1984      644.000000
    10     2  1984      648.000000
    11     2  1984      652.000000
    12     2  1984      654.000000
    13     2  1984      655.000000
    14     2  1984      656.000000
    15     2  1984      658.000000
    16     2  1984      660.000000
    17     2  1984      662.000000
    18     2  1984      664.000000
    19     2  1984      666.000000
    20     2  1984      668.000000
    21     2  1984      668.000000
    22     2  1984      668.000000
    23     2  1984      668.000000
    24     2  1984      670.000000
    25     2  1984      670.000000
    26     2  1984      672.000000
    27     2  1984      672.000000
    28     2  1984      672.000000
    29     2  1984      672.000000
     1     3  1984      672.000000
     2     3  1984      672.000000
     3     3  1984      672.000000
     4     3  1984      672.000000
     5     3  1984      672.000000
