SERRINHA	-64.827	-0.482
     2     9  1983      848.000000
     3     9  1983      850.000000
     4     9  1983      849.000000
     5     9  1983      849.000000
     6     9  1983      847.000000
     7     9  1983      846.000000
     8     9  1983      843.000000
     9     9  1983      841.000000
    10     9  1983      837.000000
    11     9  1983      833.000000
    12     9  1983      828.000000
    13     9  1983      824.000000
    14     9  1983      819.000000
    15     9  1983      814.000000
    16     9  1983      811.000000
    17     9  1983      810.000000
    18     9  1983      803.000000
    19     9  1983      799.000000
    20     9  1983      793.000000
    21     9  1983      785.000000
    22     9  1983      774.000000
    23     9  1983      764.000000
    24     9  1983      759.000000
    25     9  1983      755.000000
    26     9  1983      751.000000
    27     9  1983      745.000000
    28     9  1983      739.000000
    29     9  1983      733.000000
    30     9  1983      729.000000
     1    10  1983      716.000000
     2    10  1983      700.000000
     3    10  1983      686.000000
     4    10  1983      673.000000
     5    10  1983      663.000000
     6    10  1983      653.000000
     7    10  1983      643.000000
     8    10  1983      633.000000
     9    10  1983      626.000000
    10    10  1983      622.000000
    11    10  1983      621.000000
    12    10  1983      619.000000
    13    10  1983      621.000000
    14    10  1983      621.000000
    15    10  1983      617.000000
    16    10  1983      613.000000
    17    10  1983      609.000000
    18    10  1983      603.000000
    19    10  1983      595.000000
    20    10  1983      586.000000
    21    10  1983      576.000000
    22    10  1983      571.000000
    23    10  1983      563.000000
    24    10  1983      556.000000
    25    10  1983      554.000000
    26    10  1983      555.000000
    27    10  1983      559.000000
    28    10  1983      566.000000
    29    10  1983      575.000000
    30    10  1983      596.000000
    31    10  1983      601.000000
     1    11  1983      607.000000
     2    11  1983      619.000000
     3    11  1983      633.000000
     4    11  1983      644.000000
     5    11  1983      655.000000
     6    11  1983      664.000000
     7    11  1983      668.000000
     8    11  1983      673.000000
     9    11  1983      678.000000
    10    11  1983      677.000000
    11    11  1983      677.000000
    12    11  1983      676.000000
    13    11  1983      673.000000
    14    11  1983      669.000000
    15    11  1983      663.000000
    16    11  1983      658.000000
    17    11  1983      654.000000
    18    11  1983      647.000000
    19    11  1983      642.000000
    20    11  1983      632.000000
    21    11  1983      622.000000
    22    11  1983      614.000000
    23    11  1983      601.000000
    24    11  1983      587.000000
    25    11  1983      576.000000
    26    11  1983      562.000000
    27    11  1983      551.000000
    28    11  1983      542.000000
    29    11  1983      534.000000
    30    11  1983      531.000000
     1    12  1983      528.000000
     2    12  1983      527.000000
     3    12  1983      529.000000
     4    12  1983      533.000000
     5    12  1983      537.000000
     6    12  1983      542.000000
     7    12  1983      548.000000
     8    12  1983      555.000000
     9    12  1983      563.000000
    10    12  1983      574.000000
    11    12  1983      597.000000
    12    12  1983      615.000000
    13    12  1983      636.000000
    14    12  1983      655.000000
    15    12  1983      680.000000
    16    12  1983      694.000000
    17    12  1983      699.000000
    18    12  1983      699.000000
    19    12  1983      697.000000
    20    12  1983      688.000000
    21    12  1983      678.000000
    22    12  1983      671.000000
    23    12  1983      665.000000
    24    12  1983      659.000000
    25    12  1983      654.000000
    26    12  1983      652.000000
    27    12  1983      653.000000
    28    12  1983      656.000000
    29    12  1983      658.000000
    30    12  1983      662.000000
    31    12  1983      666.000000
     1     1  1984      668.000000
     2     1  1984      676.000000
     3     1  1984      683.000000
     4     1  1984      681.000000
     5     1  1984      680.000000
     6     1  1984      678.000000
     7     1  1984      675.000000
     8     1  1984      671.000000
     9     1  1984      673.000000
    10     1  1984      675.000000
    11     1  1984      671.000000
    12     1  1984      665.000000
    13     1  1984      661.000000
    14     1  1984      657.000000
    15     1  1984      643.000000
    16     1  1984      632.000000
    17     1  1984      628.000000
    18     1  1984      621.000000
    19     1  1984      605.000000
    20     1  1984      599.000000
    21     1  1984      589.000000
    22     1  1984      585.000000
    23     1  1984      590.000000
    24     1  1984      604.000000
    25     1  1984      618.000000
    26     1  1984      634.000000
    27     1  1984      654.000000
    28     1  1984      668.000000
    29     1  1984      677.000000
    30     1  1984      682.000000
    31     1  1984      690.000000
     1     2  1984      703.000000
     2     2  1984      705.000000
     3     2  1984      705.000000
     4     2  1984      703.000000
     5     2  1984      702.000000
     6     2  1984      700.000000
     7     2  1984      697.000000
     8     2  1984      698.000000
     9     2  1984      696.000000
    10     2  1984      696.000000
    11     2  1984      698.000000
    12     2  1984      699.000000
    13     2  1984      699.000000
    14     2  1984      701.000000
    15     2  1984      705.000000
    16     2  1984      708.000000
    17     2  1984      710.000000
    18     2  1984      711.000000
    19     2  1984      709.000000
    20     2  1984      706.000000
    21     2  1984      708.000000
    22     2  1984      710.000000
    23     2  1984      714.000000
    24     2  1984      723.000000
    25     2  1984      733.000000
    26     2  1984      743.000000
    27     2  1984      755.000000
    28     2  1984      763.000000
    29     2  1984      767.000000
     1     3  1984      769.000000
     2     3  1984      767.000000
     3     3  1984      764.000000
     4     3  1984      762.000000
     5     3  1984      762.000000
     6     3  1984      761.000000
     7     3  1984      760.000000
     8     3  1984      759.000000
     9     3  1984      758.000000
    10     3  1984      757.000000
    11     3  1984      756.000000
    12     3  1984      753.000000
    13     3  1984      751.000000
    14     3  1984      750.000000
    15     3  1984      747.000000
    16     3  1984      738.000000
    17     3  1984      727.000000
    18     3  1984      714.000000
