FAZENDAPASSARÃO	-60.571	3.208
     2     9  1983      715.000000
     3     9  1983      693.000000
     4     9  1983      662.000000
     5     9  1983      647.000000
     6     9  1983      637.000000
     7     9  1983      630.000000
     8     9  1983      626.000000
     9     9  1983      615.000000
    10     9  1983      610.000000
    11     9  1983      607.000000
    12     9  1983      604.000000
    13     9  1983      602.000000
    14     9  1983      602.000000
    15     9  1983      602.000000
    16     9  1983      599.000000
    17     9  1983      598.000000
    18     9  1983      598.000000
    19     9  1983      595.000000
    20     9  1983      590.000000
    21     9  1983      589.000000
    22     9  1983      584.000000
    23     9  1983      578.000000
    24     9  1983      577.000000
    25     9  1983      576.000000
    26     9  1983      575.000000
    27     9  1983      575.000000
    28     9  1983      574.000000
    29     9  1983      574.000000
    30     9  1983      574.000000
     1    10  1983      572.000000
     2    10  1983      571.000000
     3    10  1983      569.000000
     4    10  1983      568.000000
     5    10  1983      568.000000
     6    10  1983      566.000000
     7    10  1983      565.000000
     8    10  1983      565.000000
     9    10  1983      564.000000
    10    10  1983      562.000000
    11    10  1983      559.000000
    12    10  1983      552.000000
    13    10  1983      549.000000
    14    10  1983      548.000000
    15    10  1983      547.000000
    16    10  1983      544.000000
    17    10  1983      542.000000
    18    10  1983      540.000000
    19    10  1983      538.000000
    20    10  1983      538.000000
    21    10  1983      537.000000
    22    10  1983      537.000000
    23    10  1983      537.000000
    24    10  1983      536.000000
    25    10  1983      535.000000
    26    10  1983      533.000000
    27    10  1983      531.000000
    28    10  1983      538.000000
    29    10  1983      542.000000
    30    10  1983      548.000000
    31    10  1983      551.000000
     1    11  1983      551.000000
     2    11  1983      558.000000
     3    11  1983      562.000000
     4    11  1983      558.000000
     5    11  1983      559.000000
     6    11  1983      560.000000
     7    11  1983      559.000000
     8    11  1983      557.000000
     9    11  1983      557.000000
    10    11  1983      548.000000
    11    11  1983      546.000000
    12    11  1983      544.000000
    13    11  1983      551.000000
    14    11  1983      558.000000
    15    11  1983      566.000000
    16    11  1983      558.000000
    17    11  1983      556.000000
    18    11  1983      553.000000
    19    11  1983      548.000000
    20    11  1983      547.000000
    21    11  1983      547.000000
    22    11  1983      544.000000
    23    11  1983      542.000000
    24    11  1983      540.000000
