TABATINGA	-69.933	-4.250
    21     8  1983      159.000000
    22     8  1983      146.000000
    23     8  1983      137.000000
    24     8  1983      136.000000
    25     8  1983      137.000000
    26     8  1983      159.000000
    27     8  1983      184.000000
    28     8  1983      210.000000
    29     8  1983      235.000000
    30     8  1983      249.000000
    31     8  1983      259.000000
     1     9  1983      266.000000
     2     9  1983      270.000000
     3     9  1983      270.000000
     4     9  1983      271.000000
     5     9  1983      272.000000
     6     9  1983      272.000000
     7     9  1983      270.000000
     8     9  1983      269.000000
     9     9  1983      273.000000
    10     9  1983      287.000000
    11     9  1983      315.000000
    12     9  1983      343.000000
    13     9  1983      364.000000
    14     9  1983      374.000000
    15     9  1983      376.000000
    16     9  1983      373.000000
    17     9  1983      372.000000
    18     9  1983      377.000000
    19     9  1983      384.000000
    20     9  1983      403.000000
    21     9  1983      416.000000
    22     9  1983      424.000000
    23     9  1983      423.000000
    24     9  1983      418.000000
    25     9  1983      404.000000
    26     9  1983      386.000000
    27     9  1983      366.000000
    28     9  1983      343.000000
    29     9  1983      323.000000
    30     9  1983      302.000000
     1    10  1983      284.000000
     2    10  1983      271.000000
     3    10  1983      263.000000
     4    10  1983      262.000000
     5    10  1983      264.000000
     6    10  1983      267.000000
     7    10  1983      272.000000
     8    10  1983      278.000000
     9    10  1983      296.000000
    10    10  1983      324.000000
    11    10  1983      365.000000
    12    10  1983      408.000000
    13    10  1983      447.000000
    14    10  1983      473.000000
    15    10  1983      491.000000
    16    10  1983      496.000000
    17    10  1983      492.000000
    18    10  1983      482.000000
    19    10  1983      468.000000
    20    10  1983      462.000000
    21    10  1983      462.000000
    22    10  1983      468.000000
    23    10  1983      474.000000
    24    10  1983      476.000000
    25    10  1983      476.000000
    26    10  1983      476.000000
    27    10  1983      478.000000
    28    10  1983      484.000000
    29    10  1983      494.000000
    30    10  1983      514.000000
    31    10  1983      538.000000
     1    11  1983      562.000000
     2    11  1983      588.000000
     3    11  1983      606.000000
     4    11  1983      624.000000
     5    11  1983      641.000000
     6    11  1983      652.000000
     7    11  1983      659.000000
     8    11  1983      666.000000
     9    11  1983      672.000000
    10    11  1983      686.000000
