ENVIRA	-70.023	-7.428
    29     8  1983      215.000000
    30     8  1983      218.000000
    31     8  1983      221.000000
     1     9  1983      223.000000
     2     9  1983      220.000000
     3     9  1983      218.000000
     4     9  1983      215.000000
     5     9  1983      212.000000
     6     9  1983      208.000000
     7     9  1983      206.000000
     8     9  1983      201.000000
     9     9  1983      192.000000
    10     9  1983      189.000000
    11     9  1983      191.000000
    12     9  1983      192.000000
    13     9  1983      192.000000
    14     9  1983      191.000000
    15     9  1983      187.000000
    16     9  1983      185.000000
    17     9  1983      181.000000
    18     9  1983      174.000000
    19     9  1983      171.000000
    20     9  1983      169.000000
    21     9  1983      167.000000
    22     9  1983      167.000000
    23     9  1983      167.000000
    24     9  1983      169.000000
    25     9  1983      171.000000
    26     9  1983      169.000000
    27     9  1983      171.000000
    28     9  1983      175.000000
    29     9  1983      183.000000
    30     9  1983      188.000000
     1    10  1983      191.000000
     2    10  1983      191.000000
     3    10  1983      188.000000
     4    10  1983      185.000000
     5    10  1983      181.000000
     6    10  1983      178.000000
     7    10  1983      176.000000
     8    10  1983      178.000000
     9    10  1983      182.000000
    10    10  1983      190.000000
    11    10  1983      202.000000
    12    10  1983      209.000000
    13    10  1983      205.000000
    14    10  1983      202.000000
    15    10  1983      200.000000
    16    10  1983      196.000000
    17    10  1983      192.000000
    18    10  1983      187.000000
    19    10  1983      185.000000
    20    10  1983      197.000000
    21    10  1983      197.000000
    22    10  1983      193.000000
    23    10  1983      190.000000
    24    10  1983      190.000000
    25    10  1983      198.000000
    26    10  1983      200.000000
    27    10  1983      204.000000
    28    10  1983      208.000000
    29    10  1983      210.000000
    30    10  1983      213.000000
    31    10  1983      215.000000
     1    11  1983      229.000000
     2    11  1983      275.000000
     3    11  1983      359.000000
     4    11  1983      484.000000
     5    11  1983      666.000000
     6    11  1983      738.000000
     7    11  1983      708.000000
     8    11  1983      648.000000
     9    11  1983      633.000000
    10    11  1983      639.000000
    11    11  1983      679.000000
    12    11  1983      710.000000
    13    11  1983      728.000000
    14    11  1983      736.000000
    15    11  1983      742.000000
    16    11  1983      687.000000
    17    11  1983      671.000000
    18    11  1983      656.000000
    19    11  1983      632.000000
    20    11  1983      578.000000
    21    11  1983      558.000000
    22    11  1983      535.000000
    23    11  1983      501.000000
    24    11  1983      469.000000
    25    11  1983      441.000000
    26    11  1983      430.000000
    27    11  1983      426.000000
    28    11  1983      431.000000
    29    11  1983      436.000000
    30    11  1983      441.000000
     1    12  1983      446.000000
     2    12  1983      452.000000
     3    12  1983      469.000000
     4    12  1983      490.000000
     5    12  1983      520.000000
     6    12  1983      536.000000
     7    12  1983      554.000000
     8    12  1983      580.000000
     9    12  1983      601.000000
    10    12  1983      619.000000
    11    12  1983      637.000000
    12    12  1983      663.000000
    13    12  1983      687.000000
    14    12  1983      712.000000
    15    12  1983      728.000000
    16    12  1983      754.000000
    17    12  1983      772.000000
    18    12  1983      790.000000
    19    12  1983      807.000000
    20    12  1983      811.000000
    21    12  1983      799.000000
    22    12  1983      783.000000
    23    12  1983      767.000000
    24    12  1983      746.000000
    25    12  1983      715.000000
    26    12  1983      677.000000
    27    12  1983      646.000000
    28    12  1983      589.000000
    29    12  1983      599.000000
    30    12  1983      658.000000
    31    12  1983      702.000000
     1     1  1984      728.000000
     2     1  1984      745.000000
     3     1  1984      748.000000
     4     1  1984      736.000000
     5     1  1984      814.000000
     6     1  1984      846.000000
     7     1  1984      818.000000
     8     1  1984      823.000000
     9     1  1984      882.000000
    10     1  1984      954.000000
    11     1  1984      980.000000
    12     1  1984      981.000000
    13     1  1984      972.000000
    14     1  1984      988.000000
    15     1  1984     1068.000000
    16     1  1984     1132.000000
    17     1  1984     1165.000000
    18     1  1984     1184.000000
    19     1  1984     1195.000000
    20     1  1984     1195.000000
    21     1  1984     1178.000000
    22     1  1984     1132.000000
    23     1  1984     1084.000000
    24     1  1984     1056.000000
    25     1  1984     1066.000000
    26     1  1984     1017.000000
    27     1  1984      988.000000
    28     1  1984      978.000000
    29     1  1984      966.000000
    30     1  1984      949.000000
    31     1  1984      938.000000
     1     2  1984      946.000000
     2     2  1984      971.000000
     3     2  1984      993.000000
     4     2  1984     1033.000000
     5     2  1984     1120.000000
     6     2  1984     1168.000000
     7     2  1984     1198.000000
     8     2  1984     1224.000000
     9     2  1984     1238.000000
    10     2  1984     1252.000000
    11     2  1984     1266.000000
    12     2  1984     1273.000000
    13     2  1984     1278.000000
    14     2  1984     1278.000000
    15     2  1984     1278.000000
    16     2  1984     1280.000000
    17     2  1984     1280.000000
    18     2  1984     1280.000000
    19     2  1984     1278.000000
    20     2  1984     1278.000000
    21     2  1984     1276.000000
    22     2  1984     1278.000000
    23     2  1984     1281.000000
    24     2  1984     1284.000000
    25     2  1984     1290.000000
    26     2  1984     1295.000000
    27     2  1984     1298.000000
    28     2  1984     1298.000000
    29     2  1984     1289.000000
     1     3  1984     1278.000000
     2     3  1984     1270.000000
     3     3  1984     1269.000000
     4     3  1984     1275.000000
     5     3  1984     1281.000000
     6     3  1984     1287.000000
     7     3  1984     1295.000000
     8     3  1984     1300.000000
     9     3  1984     1299.000000
    10     3  1984     1293.000000
    11     3  1984     1284.000000
    12     3  1984     1274.000000
    13     3  1984     1262.000000
    14     3  1984     1240.000000
    15     3  1984     1218.000000
    16     3  1984     1194.000000
    17     3  1984     1166.000000
    18     3  1984     1136.000000
    19     3  1984     1074.000000
    20     3  1984     1002.000000
    21     3  1984      955.000000
    22     3  1984      892.000000
    23     3  1984      884.000000
    24     3  1984      925.000000
    25     3  1984     1016.000000
    26     3  1984     1098.000000
    27     3  1984     1126.000000
    28     3  1984     1095.000000
    29     3  1984     1036.000000
    30     3  1984     1002.000000
    31     3  1984      999.000000
     1     4  1984     1028.000000
     2     4  1984     1036.000000
     3     4  1984     1017.000000
     4     4  1984     1032.000000
     5     4  1984     1084.000000
     6     4  1984     1107.000000
     7     4  1984     1156.000000
     8     4  1984     1156.000000
     9     4  1984     1116.000000
    10     4  1984     1066.000000
    11     4  1984     1006.000000
    12     4  1984      963.000000
    13     4  1984      959.000000
    14     4  1984      955.000000
    15     4  1984      948.000000
    16     4  1984      939.000000
    17     4  1984      916.000000
    18     4  1984      896.000000
    19     4  1984      864.000000
    20     4  1984      822.000000
    21     4  1984      836.000000
    22     4  1984      874.000000
    23     4  1984      956.000000
    24     4  1984     1052.000000
    25     4  1984     1128.000000
    26     4  1984     1168.000000
    27     4  1984     1167.000000
    28     4  1984     1150.000000
    29     4  1984     1123.000000
    30     4  1984     1095.000000
     1     5  1984     1065.000000
     2     5  1984     1026.000000
     3     5  1984      976.000000
     4     5  1984      908.000000
     5     5  1984      868.000000
     6     5  1984      818.000000
     7     5  1984      735.000000
     8     5  1984      648.000000
     9     5  1984      635.000000
    10     5  1984      678.000000
    11     5  1984      672.000000
    12     5  1984      643.000000
    13     5  1984      638.000000
    14     5  1984      648.000000
    15     5  1984      649.000000
    16     5  1984      620.000000
    17     5  1984      580.000000
    18     5  1984      556.000000
    19     5  1984      548.000000
    20     5  1984      540.000000
    21     5  1984      530.000000
    22     5  1984      518.000000
    23     5  1984      505.000000
    24     5  1984      498.000000
    25     5  1984      496.000000
    26     5  1984      508.000000
    27     5  1984      517.000000
    28     5  1984      514.000000
    29     5  1984      506.000000
    30     5  1984      491.000000
    31     5  1984      481.000000
     1     6  1984      476.000000
     2     6  1984      474.000000
     3     6  1984      466.000000
     4     6  1984      440.000000
     5     6  1984      426.000000
     6     6  1984      416.000000
     7     6  1984      400.000000
     8     6  1984      384.000000
     9     6  1984      384.000000
    10     6  1984      374.000000
    11     6  1984      364.000000
    12     6  1984      356.000000
    13     6  1984      346.000000
    14     6  1984      346.000000
    15     6  1984      352.000000
    16     6  1984      364.000000
    17     6  1984      377.000000
    18     6  1984      371.000000
    19     6  1984      364.000000
    20     6  1984      376.000000
    21     6  1984      394.000000
    22     6  1984      374.000000
    23     6  1984      364.000000
    24     6  1984      369.000000
    25     6  1984      372.000000
    26     6  1984      350.000000
    27     6  1984      334.000000
    28     6  1984      326.000000
    29     6  1984      318.000000
    30     6  1984      318.000000
     1     7  1984      310.000000
     2     7  1984      307.000000
     3     7  1984      304.000000
     4     7  1984      302.000000
     5     7  1984      300.000000
     6     7  1984      298.000000
     7     7  1984      296.000000
     8     7  1984      295.000000
     9     7  1984      290.000000
    10     7  1984      287.000000
    11     7  1984      287.000000
    12     7  1984      292.000000
    13     7  1984      299.000000
    14     7  1984      308.000000
    15     7  1984      317.000000
    16     7  1984      320.000000
    17     7  1984      318.000000
    18     7  1984      314.000000
    19     7  1984      308.000000
    20     7  1984      298.000000
    21     7  1984      288.000000
    22     7  1984      280.000000
    23     7  1984      272.000000
    24     7  1984      262.000000
    25     7  1984      257.000000
    26     7  1984      260.000000
    27     7  1984      254.000000
    28     7  1984      246.000000
    29     7  1984      238.000000
    30     7  1984      233.000000
    31     7  1984      224.000000
     1     8  1984      220.000000
     2     8  1984      216.000000
     3     8  1984      214.000000
     4     8  1984      210.000000
     5     8  1984      207.000000
     6     8  1984      206.000000
     7     8  1984      206.000000
     8     8  1984      206.000000
     9     8  1984      206.000000
    10     8  1984      206.000000
    11     8  1984      206.000000
    12     8  1984      203.000000
    13     8  1984      204.000000
    14     8  1984      206.000000
    15     8  1984      206.000000
    16     8  1984      206.000000
    17     8  1984      208.000000
    18     8  1984      210.000000
    19     8  1984      212.000000
    20     8  1984      212.000000
    21     8  1984      213.000000
    22     8  1984      216.000000
    23     8  1984      227.000000
    24     8  1984      232.000000
    25     8  1984      234.000000
    26     8  1984      236.000000
    27     8  1984      234.000000
    28     8  1984      234.000000
    29     8  1984      228.000000
    30     8  1984      220.000000
    31     8  1984      218.000000
     1     9  1984      212.000000
     2     9  1984      206.000000
     3     9  1984      208.000000
     4     9  1984      212.000000
     5     9  1984      218.000000
     6     9  1984      223.000000
     7     9  1984      227.000000
     8     9  1984      231.000000
     9     9  1984      226.000000
    10     9  1984      220.000000
    11     9  1984      218.000000
    12     9  1984      222.000000
    13     9  1984      226.000000
    14     9  1984      230.000000
    15     9  1984      232.000000
    16     9  1984      234.000000
    17     9  1984      234.000000
    18     9  1984      231.000000
    19     9  1984      230.000000
    20     9  1984      232.000000
    21     9  1984      235.000000
    22     9  1984      238.000000
    23     9  1984      242.000000
    24     9  1984      246.000000
    25     9  1984      250.000000
    26     9  1984      250.000000
    27     9  1984      248.000000
    28     9  1984      242.000000
    29     9  1984      236.000000
    30     9  1984      230.000000
     1    10  1984      226.000000
     2    10  1984      220.000000
     3    10  1984      218.000000
     4    10  1984      218.000000
     5    10  1984      227.000000
     6    10  1984      262.000000
     7    10  1984      304.000000
     8    10  1984      329.000000
     9    10  1984      350.000000
    10    10  1984      384.000000
    11    10  1984      414.000000
    12    10  1984      436.000000
    13    10  1984      469.000000
    14    10  1984      492.000000
    15    10  1984      519.000000
    16    10  1984      532.000000
    17    10  1984      528.000000
    18    10  1984      511.000000
    19    10  1984      486.000000
    20    10  1984      456.000000
    21    10  1984      466.000000
    22    10  1984      504.000000
    23    10  1984      536.000000
    24    10  1984      560.000000
    25    10  1984      581.000000
    26    10  1984      601.000000
    27    10  1984      622.000000
    28    10  1984      641.000000
    29    10  1984      652.000000
    30    10  1984      636.000000
    31    10  1984      616.000000
     1    11  1984      606.000000
     2    11  1984      600.000000
     3    11  1984      596.000000
     4    11  1984      591.000000
     5    11  1984      585.000000
     6    11  1984      577.000000
     7    11  1984      582.000000
     8    11  1984      596.000000
     9    11  1984      589.000000
    10    11  1984      593.000000
    11    11  1984      609.000000
    12    11  1984      706.000000
    13    11  1984      746.000000
    14    11  1984      704.000000
    15    11  1984      807.000000
    16    11  1984      956.000000
    17    11  1984     1046.000000
    18    11  1984     1080.000000
    19    11  1984     1080.000000
    20    11  1984     1045.000000
    21    11  1984     1026.000000
    22    11  1984     1017.000000
    23    11  1984     1002.000000
    24    11  1984      962.000000
    25    11  1984      983.000000
    26    11  1984     1022.000000
    27    11  1984     1055.000000
    28    11  1984     1098.000000
    29    11  1984     1040.000000
    30    11  1984      990.000000
     1    12  1984     1010.000000
     2    12  1984      970.000000
     3    12  1984     1036.000000
     4    12  1984     1080.000000
     5    12  1984     1088.000000
     6    12  1984     1096.000000
     7    12  1984     1113.000000
     8    12  1984     1129.000000
     9    12  1984     1094.000000
    10    12  1984     1042.000000
    11    12  1984     1020.000000
    12    12  1984     1039.000000
    13    12  1984     1102.000000
    14    12  1984     1145.000000
    15    12  1984     1151.000000
    16    12  1984     1142.000000
    17    12  1984     1124.000000
    18    12  1984     1001.000000
    19    12  1984      908.000000
    20    12  1984      844.000000
    21    12  1984      868.000000
    22    12  1984      906.000000
    23    12  1984      902.000000
    24    12  1984      846.000000
    25    12  1984      791.000000
    26    12  1984      732.000000
    27    12  1984      788.000000
    28    12  1984     1044.000000
    29    12  1984     1112.000000
    30    12  1984     1146.000000
    31    12  1984     1158.000000
     1     1  1985     1136.000000
     2     1  1985     1099.000000
     3     1  1985     1098.000000
     4     1  1985     1048.000000
     5     1  1985      960.000000
     6     1  1985      898.000000
     7     1  1985      854.000000
     8     1  1985      880.000000
     9     1  1985      994.000000
    10     1  1985     1076.000000
    11     1  1985     1096.000000
    12     1  1985     1048.000000
    13     1  1985     1041.000000
    14     1  1985     1101.000000
    15     1  1985     1156.000000
    16     1  1985     1186.000000
    17     1  1985     1200.000000
    18     1  1985     1210.000000
    19     1  1985     1198.000000
    20     1  1985     1122.000000
    21     1  1985      998.000000
    22     1  1985      912.000000
    23     1  1985      868.000000
    24     1  1985      838.000000
    25     1  1985      820.000000
    26     1  1985      770.000000
    27     1  1985      724.000000
    28     1  1985      697.000000
    29     1  1985      738.000000
    30     1  1985      746.000000
    31     1  1985      749.000000
     1     2  1985      821.000000
     2     2  1985      896.000000
     3     2  1985      952.000000
     4     2  1985      970.000000
     5     2  1985      954.000000
     6     2  1985      898.000000
     7     2  1985      830.000000
     8     2  1985      795.000000
     9     2  1985      794.000000
