XAPURI	-68.507	-10.650
     2     9  1983      283.000000
     3     9  1983      283.000000
     4     9  1983      288.000000
     5     9  1983      286.000000
     6     9  1983      285.000000
     7     9  1983      285.000000
     8     9  1983      284.000000
     9     9  1983      283.000000
    10     9  1983      283.000000
    11     9  1983      281.000000
    12     9  1983      280.000000
    13     9  1983      277.000000
    14     9  1983      276.000000
    15     9  1983      278.000000
    16     9  1983      279.000000
    17     9  1983      280.000000
    18     9  1983      278.000000
    19     9  1983      275.000000
    20     9  1983      274.000000
    21     9  1983      272.000000
    22     9  1983      269.000000
    23     9  1983      269.000000
    24     9  1983      267.000000
    25     9  1983      266.000000
    26     9  1983      266.000000
    27     9  1983      267.000000
    28     9  1983      272.000000
    29     9  1983      272.000000
    30     9  1983      270.000000
     1    10  1983      268.000000
     2    10  1983      266.000000
     3    10  1983      272.000000
     4    10  1983      281.000000
     5    10  1983      288.000000
     6    10  1983      284.000000
     7    10  1983      277.000000
     8    10  1983      273.000000
     9    10  1983      274.000000
    10    10  1983      274.000000
    11    10  1983      273.000000
    12    10  1983      271.000000
    13    10  1983      268.000000
    14    10  1983      267.000000
    15    10  1983      271.000000
    16    10  1983      277.000000
    17    10  1983      287.000000
    18    10  1983      284.000000
    19    10  1983      279.000000
    20    10  1983      276.000000
    21    10  1983      278.000000
    22    10  1983      279.000000
    23    10  1983      278.000000
    24    10  1983      277.000000
    25    10  1983      277.000000
    26    10  1983      276.000000
    27    10  1983      273.000000
    28    10  1983      288.000000
    29    10  1983      291.000000
    30    10  1983      283.000000
    31    10  1983      275.000000
     1    11  1983      267.000000
     2    11  1983      266.000000
     3    11  1983      266.000000
     4    11  1983      279.000000
     5    11  1983      310.000000
     6    11  1983      320.000000
     7    11  1983      314.000000
     8    11  1983      309.000000
     9    11  1983      289.000000
    10    11  1983      314.000000
    11    11  1983      349.000000
    12    11  1983      343.000000
    13    11  1983      390.000000
    14    11  1983      439.000000
    15    11  1983      499.000000
    16    11  1983      745.000000
    17    11  1983      678.000000
    18    11  1983      911.000000
    19    11  1983      981.000000
    20    11  1983      710.000000
    21    11  1983      586.000000
    22    11  1983      552.000000
    23    11  1983      441.000000
    24    11  1983      359.000000
    25    11  1983      350.000000
    26    11  1983      389.000000
    27    11  1983      460.000000
    28    11  1983      460.000000
    29    11  1983      412.000000
    30    11  1983      472.000000
     1    12  1983      480.000000
     2    12  1983      505.000000
     3    12  1983      508.000000
     4    12  1983      519.000000
     5    12  1983      529.000000
     6    12  1983      532.000000
     7    12  1983      649.000000
     8    12  1983      867.000000
     9    12  1983      885.000000
    10    12  1983      769.000000
    11    12  1983      600.000000
    12    12  1983      517.000000
    13    12  1983      472.000000
    14    12  1983      448.000000
    15    12  1983      434.000000
    16    12  1983      423.000000
    17    12  1983      401.000000
    18    12  1983      390.000000
    19    12  1983      378.000000
    20    12  1983      366.000000
    21    12  1983      353.000000
    22    12  1983      341.000000
    23    12  1983      342.000000
    24    12  1983      359.000000
    25    12  1983      395.000000
    26    12  1983      490.000000
    27    12  1983      479.000000
    28    12  1983      471.000000
    29    12  1983      462.000000
    30    12  1983      451.000000
    31    12  1983      443.000000
     1     1  1984      430.000000
     2     1  1984      453.000000
     3     1  1984      680.000000
     4     1  1984      678.000000
     5     1  1984      613.000000
     6     1  1984      549.000000
     7     1  1984      477.000000
     8     1  1984      578.000000
     9     1  1984      553.000000
    10     1  1984      528.000000
    11     1  1984      646.000000
    12     1  1984      638.000000
    13     1  1984      809.000000
    14     1  1984      904.000000
    15     1  1984      857.000000
    16     1  1984      760.000000
    17     1  1984      642.000000
    18     1  1984      599.000000
    19     1  1984      618.000000
    20     1  1984      618.000000
    21     1  1984      629.000000
    22     1  1984      661.000000
    23     1  1984      681.000000
    24     1  1984      694.000000
    25     1  1984      710.000000
    26     1  1984      728.000000
    27     1  1984      754.000000
    28     1  1984      784.000000
    29     1  1984      806.000000
    30     1  1984      839.000000
    31     1  1984      879.000000
     1     2  1984      893.000000
     2     2  1984      911.000000
     3     2  1984      930.000000
     4     2  1984      944.000000
     5     2  1984      956.000000
     6     2  1984      966.000000
     7     2  1984      994.000000
     8     2  1984      985.000000
