BARCELOS	-62.931	-0.966
     2     9  1983      554.000000
     3     9  1983      555.000000
     4     9  1983      556.000000
     5     9  1983      556.000000
     6     9  1983      557.000000
     7     9  1983      557.000000
     8     9  1983      558.000000
     9     9  1983      557.000000
    10     9  1983      557.000000
    11     9  1983      555.000000
    12     9  1983      554.000000
    13     9  1983      554.000000
    14     9  1983      551.000000
    15     9  1983      549.000000
    16     9  1983      547.000000
    17     9  1983      544.000000
    18     9  1983      542.000000
    19     9  1983      539.000000
    20     9  1983      537.000000
    21     9  1983      535.000000
    22     9  1983      533.000000
    23     9  1983      531.000000
    24     9  1983      526.000000
    25     9  1983      521.000000
    26     9  1983      517.000000
    27     9  1983      514.000000
    28     9  1983      509.000000
    29     9  1983      506.000000
    30     9  1983      504.000000
     1    10  1983      494.000000
     2    10  1983      487.000000
     3    10  1983      478.000000
     4    10  1983      475.000000
     5    10  1983      467.000000
     6    10  1983      459.000000
     7    10  1983      450.000000
     8    10  1983      441.000000
     9    10  1983      436.000000
    10    10  1983      427.000000
    11    10  1983      419.000000
    12    10  1983      412.000000
    13    10  1983      404.000000
    14    10  1983      399.000000
    15    10  1983      394.000000
    16    10  1983      389.000000
    17    10  1983      384.000000
    18    10  1983      380.000000
    19    10  1983      374.000000
    20    10  1983      369.000000
    21    10  1983      365.000000
    22    10  1983      358.000000
    23    10  1983      350.000000
    24    10  1983      344.000000
    25    10  1983      342.000000
    26    10  1983      339.000000
    27    10  1983      335.000000
    28    10  1983      332.000000
    29    10  1983      331.000000
    30    10  1983      331.000000
    31    10  1983      333.000000
     1    11  1983      335.000000
     2    11  1983      338.000000
     3    11  1983      344.000000
     4    11  1983      352.000000
     5    11  1983      360.000000
     6    11  1983      368.000000
     7    11  1983      375.000000
     8    11  1983      381.000000
     9    11  1983      388.000000
    10    11  1983      394.000000
    11    11  1983      396.000000
    12    11  1983      399.000000
    13    11  1983      401.000000
    14    11  1983      403.000000
    15    11  1983      403.000000
    16    11  1983      404.000000
    17    11  1983      403.000000
    18    11  1983      400.000000
    19    11  1983      397.000000
    20    11  1983      394.000000
    21    11  1983      391.000000
    22    11  1983      388.000000
    23    11  1983      376.000000
    24    11  1983      370.000000
    25    11  1983      368.000000
    26    11  1983      356.000000
    27    11  1983      355.000000
    28    11  1983      345.000000
    29    11  1983      336.000000
    30    11  1983      327.000000
     1    12  1983      318.000000
     2    12  1983      310.000000
     3    12  1983      305.000000
     4    12  1983      299.000000
     5    12  1983      297.000000
     6    12  1983      301.000000
     7    12  1983      307.000000
     8    12  1983      312.000000
     9    12  1983      316.000000
    10    12  1983      320.000000
    11    12  1983      324.000000
    12    12  1983      329.000000
    13    12  1983      333.000000
    14    12  1983      335.000000
    15    12  1983      346.000000
    16    12  1983      359.000000
    17    12  1983      371.000000
    18    12  1983      383.000000
    19    12  1983      391.000000
    20    12  1983      400.000000
    21    12  1983      404.000000
    22    12  1983      409.000000
    23    12  1983      412.000000
    24    12  1983      414.000000
    25    12  1983      416.000000
    26    12  1983      416.000000
    27    12  1983      415.000000
