SANTARÉMSUCUNDURI	-59.042	-6.796
    31     8  1983      264.000000
     1     9  1983      264.000000
     2     9  1983      262.000000
     3     9  1983      261.000000
     4     9  1983      263.000000
     5     9  1983      270.000000
     6     9  1983      280.000000
     7     9  1983      285.000000
     8     9  1983      281.000000
     9     9  1983      279.000000
    10     9  1983      277.000000
    11     9  1983      280.000000
    12     9  1983      281.000000
    13     9  1983      288.000000
    14     9  1983      282.000000
    15     9  1983      280.000000
    16     9  1983      278.000000
    17     9  1983      275.000000
    18     9  1983      269.000000
    19     9  1983      265.000000
    20     9  1983      263.000000
    21     9  1983      260.000000
    22     9  1983      263.000000
    23     9  1983      266.000000
    24     9  1983      262.000000
    25     9  1983      260.000000
    26     9  1983      258.000000
    27     9  1983      258.000000
    28     9  1983      260.000000
    29     9  1983      264.000000
    30     9  1983      275.000000
     1    10  1983      312.000000
     2    10  1983      328.000000
     3    10  1983      310.000000
     4    10  1983      283.000000
     5    10  1983      277.000000
     6    10  1983      274.000000
     7    10  1983      273.000000
     8    10  1983      273.000000
     9    10  1983      275.000000
    10    10  1983      279.000000
    11    10  1983      282.000000
    12    10  1983      279.000000
    13    10  1983      276.000000
    14    10  1983      292.000000
    15    10  1983      311.000000
    16    10  1983      319.000000
    17    10  1983      322.000000
    18    10  1983      317.000000
    19    10  1983      314.000000
    20    10  1983      311.000000
    21    10  1983      304.000000
    22    10  1983      289.000000
    23    10  1983      284.000000
    24    10  1983      283.000000
    25    10  1983      285.000000
    26    10  1983      290.000000
    27    10  1983      291.000000
    28    10  1983      287.000000
    29    10  1983      281.000000
    30    10  1983      277.000000
    31    10  1983      280.000000
     1    11  1983      282.000000
     2    11  1983      296.000000
     3    11  1983      308.000000
     4    11  1983      320.000000
     5    11  1983      315.000000
     6    11  1983      300.000000
     7    11  1983      291.000000
     8    11  1983      286.000000
     9    11  1983      285.000000
    10    11  1983      285.000000
    11    11  1983      291.000000
    12    11  1983      297.000000
    13    11  1983      295.000000
    14    11  1983      292.000000
    15    11  1983      301.000000
    16    11  1983      308.000000
    17    11  1983      335.000000
    18    11  1983      379.000000
    19    11  1983      383.000000
    20    11  1983      363.000000
    21    11  1983      330.000000
    22    11  1983      318.000000
    23    11  1983      307.000000
    24    11  1983      296.000000
    25    11  1983      289.000000
    26    11  1983      292.000000
    27    11  1983      318.000000
    28    11  1983      330.000000
    29    11  1983      339.000000
    30    11  1983      358.000000
     1    12  1983      352.000000
     2    12  1983      337.000000
     3    12  1983      336.000000
     4    12  1983      342.000000
     5    12  1983      344.000000
     6    12  1983      358.000000
     7    12  1983      442.000000
     8    12  1983      510.000000
     9    12  1983      554.000000
    10    12  1983      600.000000
    11    12  1983      647.000000
    12    12  1983      666.000000
    13    12  1983      642.000000
    14    12  1983      608.000000
    15    12  1983      562.000000
    16    12  1983      539.000000
    17    12  1983      525.000000
    18    12  1983      516.000000
    19    12  1983      492.000000
    20    12  1983      462.000000
    21    12  1983      448.000000
    22    12  1983      444.000000
    23    12  1983      458.000000
    24    12  1983      488.000000
    25    12  1983      514.000000
    26    12  1983      496.000000
    27    12  1983      522.000000
    28    12  1983      538.000000
    29    12  1983      522.000000
    30    12  1983      496.000000
    31    12  1983      481.000000
     1     1  1984      504.000000
     2     1  1984      542.000000
     3     1  1984      600.000000
     4     1  1984      651.000000
     5     1  1984      675.000000
     6     1  1984      692.000000
     7     1  1984      684.000000
     8     1  1984      666.000000
     9     1  1984      672.000000
    10     1  1984      730.000000
    11     1  1984      841.000000
    12     1  1984      898.000000
    13     1  1984      936.000000
    14     1  1984      982.000000
    15     1  1984      996.000000
    16     1  1984      962.000000
    17     1  1984      926.000000
    18     1  1984      884.000000
    19     1  1984      852.000000
    20     1  1984      831.000000
    21     1  1984      814.000000
    22     1  1984      790.000000
    23     1  1984      820.000000
    24     1  1984      864.000000
    25     1  1984      850.000000
    26     1  1984      847.000000
    27     1  1984      848.000000
    28     1  1984      850.000000
    29     1  1984      856.000000
    30     1  1984      856.000000
    31     1  1984      878.000000
     1     2  1984      894.000000
     2     2  1984      888.000000
     3     2  1984      878.000000
     4     2  1984      862.000000
     5     2  1984      852.000000
     6     2  1984      848.000000
     7     2  1984      856.000000
     8     2  1984      874.000000
     9     2  1984      978.000000
    10     2  1984     1111.000000
    11     2  1984     1134.000000
    12     2  1984     1110.000000
    13     2  1984     1088.000000
    14     2  1984     1061.000000
    15     2  1984     1016.000000
    16     2  1984      998.000000
    17     2  1984      980.000000
    18     2  1984      963.000000
    19     2  1984      950.000000
    20     2  1984      950.000000
    21     2  1984      929.000000
    22     2  1984      895.000000
    23     2  1984      866.000000
    24     2  1984      866.000000
    25     2  1984      935.000000
    26     2  1984     1001.000000
    27     2  1984     1022.000000
    28     2  1984     1027.000000
    29     2  1984     1026.000000
     1     3  1984     1012.000000
     2     3  1984     1000.000000
     3     3  1984      988.000000
     4     3  1984      973.000000
     5     3  1984      958.000000
     6     3  1984      964.000000
     7     3  1984     1002.000000
     8     3  1984     1006.000000
     9     3  1984     1063.000000
    10     3  1984     1138.000000
    11     3  1984     1168.000000
    12     3  1984     1177.000000
    13     3  1984     1245.000000
    14     3  1984     1262.000000
    15     3  1984     1264.000000
    16     3  1984     1260.000000
    17     3  1984     1244.000000
    18     3  1984     1220.000000
    19     3  1984     1192.000000
    20     3  1984     1164.000000
    21     3  1984     1136.000000
    22     3  1984     1119.000000
    23     3  1984     1103.000000
    24     3  1984     1084.000000
    25     3  1984     1076.000000
    26     3  1984     1056.000000
    27     3  1984     1033.000000
    28     3  1984     1028.000000
    29     3  1984     1018.000000
    30     3  1984     1006.000000
    31     3  1984      998.000000
     1     4  1984     1019.000000
     2     4  1984     1014.000000
     3     4  1984     1006.000000
     4     4  1984     1016.000000
     5     4  1984     1044.000000
     6     4  1984     1074.000000
     7     4  1984     1150.000000
     8     4  1984     1194.000000
     9     4  1984     1212.000000
    10     4  1984     1204.000000
    11     4  1984     1192.000000
    12     4  1984     1170.000000
    13     4  1984     1144.000000
    14     4  1984     1118.000000
    15     4  1984     1082.000000
    16     4  1984     1069.000000
    17     4  1984     1068.000000
    18     4  1984     1070.000000
    19     4  1984     1110.000000
    20     4  1984     1150.000000
    21     4  1984     1206.000000
    22     4  1984     1218.000000
    23     4  1984     1242.000000
    24     4  1984     1260.000000
    25     4  1984     1286.000000
    26     4  1984     1306.000000
    27     4  1984     1310.000000
    28     4  1984     1311.000000
    29     4  1984     1300.000000
    30     4  1984     1282.000000
     1     5  1984     1265.000000
     2     5  1984     1242.000000
     3     5  1984     1216.000000
     4     5  1984     1194.000000
     5     5  1984     1162.000000
     6     5  1984     1134.000000
     7     5  1984     1101.000000
     8     5  1984     1064.000000
     9     5  1984     1028.000000
    10     5  1984      990.000000
    11     5  1984      956.000000
    12     5  1984      932.000000
    13     5  1984      902.000000
    14     5  1984      873.000000
    15     5  1984      853.000000
    16     5  1984      866.000000
    17     5  1984      846.000000
    18     5  1984      823.000000
    19     5  1984      794.000000
    20     5  1984      760.000000
    21     5  1984      740.000000
    22     5  1984      720.000000
    23     5  1984      717.000000
    24     5  1984      810.000000
    25     5  1984      884.000000
    26     5  1984      916.000000
    27     5  1984      893.000000
    28     5  1984      856.000000
    29     5  1984      813.000000
    30     5  1984      780.000000
    31     5  1984      760.000000
     1     6  1984      734.000000
     2     6  1984      714.000000
     3     6  1984      702.000000
     4     6  1984      684.000000
     5     6  1984      666.000000
     6     6  1984      655.000000
     7     6  1984      641.000000
     8     6  1984      628.000000
     9     6  1984      615.000000
    10     6  1984      608.000000
    11     6  1984      606.000000
    12     6  1984      600.000000
    13     6  1984      590.000000
    14     6  1984      583.000000
    15     6  1984      572.000000
    16     6  1984      561.000000
    17     6  1984      547.000000
    18     6  1984      536.000000
    19     6  1984      526.000000
    20     6  1984      519.000000
    21     6  1984      510.000000
    22     6  1984      502.000000
    23     6  1984      496.000000
    24     6  1984      491.000000
    25     6  1984      488.000000
    26     6  1984      480.000000
    27     6  1984      474.000000
    28     6  1984      467.000000
    29     6  1984      460.000000
    30     6  1984      454.000000
     1     7  1984      448.000000
     2     7  1984      443.000000
     3     7  1984      439.000000
     4     7  1984      435.000000
     5     7  1984      431.000000
     6     7  1984      426.000000
     7     7  1984      420.000000
     8     7  1984      416.000000
     9     7  1984      411.000000
    10     7  1984      406.000000
    11     7  1984      400.000000
    12     7  1984      394.000000
    13     7  1984      390.000000
    14     7  1984      388.000000
    15     7  1984      384.000000
    16     7  1984      381.000000
    17     7  1984      378.000000
    18     7  1984      374.000000
    19     7  1984      372.000000
    20     7  1984      371.000000
    21     7  1984      367.000000
    22     7  1984      363.000000
    23     7  1984      359.000000
    24     7  1984      355.000000
    25     7  1984      351.000000
    26     7  1984      347.000000
    27     7  1984      351.000000
    28     7  1984      348.000000
    29     7  1984      347.000000
    30     7  1984      347.000000
    31     7  1984      346.000000
     1     8  1984      342.000000
     2     8  1984      338.000000
     3     8  1984      336.000000
     4     8  1984      334.000000
     5     8  1984      332.000000
     6     8  1984      328.000000
     7     8  1984      326.000000
     8     8  1984      324.000000
     9     8  1984      320.000000
    10     8  1984      318.000000
    11     8  1984      316.000000
    12     8  1984      314.000000
    13     8  1984      310.000000
    14     8  1984      310.000000
    15     8  1984      308.000000
    16     8  1984      306.000000
    17     8  1984      306.000000
    18     8  1984      304.000000
    19     8  1984      307.000000
    20     8  1984      310.000000
    21     8  1984      308.000000
    22     8  1984      306.000000
    23     8  1984      304.000000
    24     8  1984      302.000000
    25     8  1984      312.000000
    26     8  1984      326.000000
    27     8  1984      321.000000
    28     8  1984      310.000000
    29     8  1984      303.000000
    30     8  1984      298.000000
    31     8  1984      294.000000
     1     9  1984      295.000000
     2     9  1984      300.000000
     3     9  1984      297.000000
     4     9  1984      302.000000
     5     9  1984      322.000000
     6     9  1984      322.000000
     7     9  1984      324.000000
     8     9  1984      325.000000
     9     9  1984      321.000000
    10     9  1984      317.000000
    11     9  1984      316.000000
    12     9  1984      306.000000
    13     9  1984      302.000000
    14     9  1984      301.000000
    15     9  1984      304.000000
    16     9  1984      306.000000
    17     9  1984      306.000000
    18     9  1984      307.000000
    19     9  1984      303.000000
    20     9  1984      300.000000
    21     9  1984      302.000000
    22     9  1984      297.000000
    23     9  1984      297.000000
    24     9  1984      304.000000
    25     9  1984      342.000000
    26     9  1984      334.000000
    27     9  1984      328.000000
    28     9  1984      317.000000
    29     9  1984      318.000000
    30     9  1984      318.000000
     1    10  1984      318.000000
     2    10  1984      316.000000
     3    10  1984      314.000000
     4    10  1984      318.000000
     5    10  1984      322.000000
     6    10  1984      320.000000
     7    10  1984      316.000000
     8    10  1984      318.000000
     9    10  1984      320.000000
    10    10  1984      320.000000
    11    10  1984      318.000000
    12    10  1984      317.000000
    13    10  1984      332.000000
    14    10  1984      342.000000
    15    10  1984      336.000000
    16    10  1984      333.000000
    17    10  1984      334.000000
    18    10  1984      338.000000
    19    10  1984      332.000000
    20    10  1984      323.000000
    21    10  1984      322.000000
    22    10  1984      332.000000
    23    10  1984      336.000000
    24    10  1984      332.000000
    25    10  1984      342.000000
    26    10  1984      352.000000
    27    10  1984      356.000000
    28    10  1984      366.000000
    29    10  1984      399.000000
    30    10  1984      438.000000
    31    10  1984      478.000000
     1    11  1984      521.000000
     2    11  1984      510.000000
     3    11  1984      490.000000
     4    11  1984      450.000000
     5    11  1984      432.000000
     6    11  1984      410.000000
     7    11  1984      404.000000
     8    11  1984      434.000000
     9    11  1984      442.000000
    10    11  1984      438.000000
    11    11  1984      424.000000
    12    11  1984      412.000000
    13    11  1984      452.000000
    14    11  1984      563.000000
    15    11  1984      610.000000
    16    11  1984      630.000000
    17    11  1984      660.000000
    18    11  1984      662.000000
    19    11  1984      621.000000
    20    11  1984      568.000000
    21    11  1984      527.000000
    22    11  1984      508.000000
    23    11  1984      508.000000
    24    11  1984      548.000000
    25    11  1984      539.000000
    26    11  1984      523.000000
    27    11  1984      509.000000
    28    11  1984      506.000000
    29    11  1984      512.000000
    30    11  1984      515.000000
     1    12  1984      512.000000
     2    12  1984      518.000000
     3    12  1984      526.000000
     4    12  1984      514.000000
     5    12  1984      500.000000
     6    12  1984      529.000000
     7    12  1984      586.000000
     8    12  1984      644.000000
     9    12  1984      715.000000
    10    12  1984      733.000000
    11    12  1984      693.000000
    12    12  1984      661.000000
    13    12  1984      652.000000
    14    12  1984      635.000000
    15    12  1984      627.000000
    16    12  1984      630.000000
    17    12  1984      637.000000
    18    12  1984      640.000000
    19    12  1984      628.000000
    20    12  1984      614.000000
    21    12  1984      598.000000
    22    12  1984      588.000000
    23    12  1984      581.000000
    24    12  1984      611.000000
    25    12  1984      683.000000
    26    12  1984      676.000000
    27    12  1984      670.000000
    28    12  1984      660.000000
    29    12  1984      665.000000
    30    12  1984      728.000000
    31    12  1984      767.000000
     1     1  1985      738.000000
     2     1  1985      714.000000
     3     1  1985      723.000000
     4     1  1985      721.000000
     5     1  1985      716.000000
     6     1  1985      818.000000
     7     1  1985      913.000000
     8     1  1985     1007.000000
     9     1  1985     1080.000000
    10     1  1985     1088.000000
    11     1  1985     1110.000000
    12     1  1985     1115.000000
    13     1  1985     1101.000000
    14     1  1985     1088.000000
    15     1  1985     1083.000000
    16     1  1985     1080.000000
    17     1  1985     1150.000000
    18     1  1985     1180.000000
    19     1  1985     1194.000000
    20     1  1985     1207.000000
    21     1  1985     1211.000000
    22     1  1985     1216.000000
    23     1  1985     1218.000000
    24     1  1985     1218.000000
    25     1  1985     1208.000000
    26     1  1985     1196.000000
    27     1  1985     1202.000000
    28     1  1985     1228.000000
    29     1  1985     1264.000000
    30     1  1985     1308.000000
    31     1  1985     1352.000000
     1     2  1985     1392.000000
     2     2  1985     1398.000000
     3     2  1985     1388.000000
     4     2  1985     1381.000000
     5     2  1985     1376.000000
     6     2  1985     1376.000000
     7     2  1985     1371.000000
     8     2  1985     1367.000000
     9     2  1985     1360.000000
    10     2  1985     1358.000000
    11     2  1985     1358.000000
    12     2  1985     1360.000000
    13     2  1985     1374.000000
    14     2  1985     1338.000000
    15     2  1985     1308.000000
    16     2  1985     1284.000000
    17     2  1985     1273.000000
    18     2  1985     1270.000000
    19     2  1985     1265.000000
    20     2  1985     1266.000000
    21     2  1985     1275.000000
    22     2  1985     1300.000000
    23     2  1985     1316.000000
    24     2  1985     1334.000000
    25     2  1985     1340.000000
    26     2  1985     1343.000000
    27     2  1985     1344.000000
    28     2  1985     1350.000000
     1     3  1985     1378.000000
     2     3  1985     1395.000000
     3     3  1985     1416.000000
     4     3  1985     1426.000000
     5     3  1985     1433.000000
     6     3  1985     1438.000000
     7     3  1985     1436.000000
     8     3  1985     1434.000000
     9     3  1985     1429.000000
    10     3  1985     1414.000000
    11     3  1985     1367.000000
    12     3  1985     1359.000000
    13     3  1985     1356.000000
    14     3  1985     1355.000000
    15     3  1985     1354.000000
    16     3  1985     1353.000000
    17     3  1985     1353.000000
    18     3  1985     1354.000000
    19     3  1985     1355.000000
    20     3  1985     1357.000000
    21     3  1985     1360.000000
    22     3  1985     1364.000000
    23     3  1985     1365.000000
    24     3  1985     1364.000000
    25     3  1985     1356.000000
    26     3  1985     1352.000000
    27     3  1985     1346.000000
    28     3  1985     1342.000000
    29     3  1985     1335.000000
    30     3  1985     1324.000000
    31     3  1985     1320.000000
     1     4  1985     1328.000000
     2     4  1985     1349.000000
     3     4  1985     1383.000000
     4     4  1985     1411.000000
     5     4  1985     1418.000000
     6     4  1985     1410.000000
     7     4  1985     1386.000000
     8     4  1985     1356.000000
     9     4  1985     1336.000000
    10     4  1985     1319.000000
    11     4  1985     1294.000000
    12     4  1985     1278.000000
    13     4  1985     1266.000000
    14     4  1985     1252.000000
    15     4  1985     1232.000000
    16     4  1985     1206.000000
    17     4  1985     1188.000000
    18     4  1985     1212.000000
    19     4  1985     1248.000000
    20     4  1985     1258.000000
    21     4  1985     1260.000000
    22     4  1985     1242.000000
    23     4  1985     1220.000000
    24     4  1985     1194.000000
    25     4  1985     1184.000000
    26     4  1985     1194.000000
    27     4  1985     1202.000000
    28     4  1985     1214.000000
    29     4  1985     1223.000000
    30     4  1985     1222.000000
     1     5  1985     1212.000000
     2     5  1985     1198.000000
     3     5  1985     1174.000000
     4     5  1985     1154.000000
     5     5  1985     1145.000000
     6     5  1985     1132.000000
     7     5  1985     1114.000000
     8     5  1985     1092.000000
     9     5  1985     1078.000000
    10     5  1985     1066.000000
    11     5  1985     1064.000000
    12     5  1985     1062.000000
    13     5  1985     1048.000000
    14     5  1985     1039.000000
    15     5  1985     1033.000000
    16     5  1985     1014.000000
    17     5  1985      992.000000
    18     5  1985      960.000000
    19     5  1985      928.000000
    20     5  1985      895.000000
    21     5  1985      858.000000
    22     5  1985      817.000000
    23     5  1985      791.000000
    24     5  1985      762.000000
    25     5  1985      744.000000
    26     5  1985      734.000000
    27     5  1985      731.000000
    28     5  1985      718.000000
    29     5  1985      700.000000
    30     5  1985      676.000000
    31     5  1985      649.000000
     1     6  1985      633.000000
     2     6  1985      626.000000
     3     6  1985      622.000000
     4     6  1985      610.000000
     5     6  1985      601.000000
     6     6  1985      592.000000
     7     6  1985      584.000000
     8     6  1985      572.000000
     9     6  1985      562.000000
    10     6  1985      551.000000
    11     6  1985      542.000000
    12     6  1985      534.000000
    13     6  1985      526.000000
    14     6  1985      520.000000
    15     6  1985      518.000000
    16     6  1985      516.000000
    17     6  1985      512.000000
    18     6  1985      501.000000
    19     6  1985      492.000000
    20     6  1985      485.000000
    21     6  1985      482.000000
    22     6  1985      480.000000
    23     6  1985      472.000000
    24     6  1985      464.000000
    25     6  1985      458.000000
    26     6  1985      454.000000
    27     6  1985      448.000000
    28     6  1985      440.000000
    29     6  1985      434.000000
    30     6  1985      429.000000
     1     7  1985      423.000000
     2     7  1985      419.000000
     3     7  1985      414.000000
     4     7  1985      410.000000
     5     7  1985      406.000000
     6     7  1985      406.000000
     7     7  1985      402.000000
     8     7  1985      400.000000
     9     7  1985      398.000000
    10     7  1985      399.000000
    11     7  1985      399.000000
    12     7  1985      397.000000
    13     7  1985      396.000000
    14     7  1985      395.000000
    15     7  1985      392.000000
    16     7  1985      386.000000
    17     7  1985      380.000000
    18     7  1985      374.000000
    19     7  1985      369.000000
    20     7  1985      364.000000
    21     7  1985      360.000000
    22     7  1985      356.000000
    23     7  1985      352.000000
    24     7  1985      350.000000
    25     7  1985      348.000000
    26     7  1985      344.000000
    27     7  1985      342.000000
    28     7  1985      340.000000
    29     7  1985      336.000000
    30     7  1985      334.000000
    31     7  1985      332.000000
     1     8  1985      330.000000
     2     8  1985      326.000000
     3     8  1985      324.000000
     4     8  1985      322.000000
     5     8  1985      320.000000
     6     8  1985      316.000000
     7     8  1985      314.000000
     8     8  1985      312.000000
     9     8  1985      307.000000
    10     8  1985      304.000000
    11     8  1985      300.000000
    12     8  1985      298.000000
    13     8  1985      296.000000
    14     8  1985      294.000000
    15     8  1985      292.000000
    16     8  1985      292.000000
    17     8  1985      300.000000
    18     8  1985      306.000000
    19     8  1985      304.000000
    20     8  1985      302.000000
    21     8  1985      299.000000
    22     8  1985      298.000000
    23     8  1985      296.000000
    24     8  1985      294.000000
    25     8  1985      292.000000
    26     8  1985      292.000000
    27     8  1985      292.000000
    28     8  1985      294.000000
    29     8  1985      294.000000
    30     8  1985      292.000000
    31     8  1985      289.000000
     1     9  1985      286.000000
     2     9  1985      284.000000
     3     9  1985      283.000000
     4     9  1985      285.000000
     5     9  1985      290.000000
     6     9  1985      286.000000
     7     9  1985      286.000000
     8     9  1985      288.000000
     9     9  1985      278.000000
    10     9  1985      278.000000
    11     9  1985      280.000000
    12     9  1985      283.000000
    13     9  1985      286.000000
    14     9  1985      285.000000
    15     9  1985      283.000000
    16     9  1985      282.000000
    17     9  1985      282.000000
    18     9  1985      291.000000
    19     9  1985      293.000000
    20     9  1985      294.000000
    21     9  1985      292.000000
    22     9  1985      290.000000
    23     9  1985      285.000000
    24     9  1985      280.000000
    25     9  1985      282.000000
    26     9  1985      280.000000
    27     9  1985      279.000000
    28     9  1985      275.000000
    29     9  1985      278.000000
    30     9  1985      284.000000
     1    10  1985      288.000000
     2    10  1985      286.000000
     3    10  1985      288.000000
     4    10  1985      294.000000
     5    10  1985      293.000000
     6    10  1985      292.000000
     7    10  1985      295.000000
     8    10  1985      294.000000
     9    10  1985      292.000000
    10    10  1985      289.000000
    11    10  1985      290.000000
    12    10  1985      292.000000
    13    10  1985      294.000000
    14    10  1985      305.000000
    15    10  1985      304.000000
    16    10  1985      304.000000
    17    10  1985      324.000000
    18    10  1985      318.000000
    19    10  1985      309.000000
    20    10  1985      308.000000
    21    10  1985      314.000000
    22    10  1985      324.000000
    23    10  1985      328.000000
    24    10  1985      322.000000
    25    10  1985      316.000000
    26    10  1985      308.000000
    27    10  1985      306.000000
    28    10  1985      321.000000
    29    10  1985      390.000000
    30    10  1985      423.000000
    31    10  1985      459.000000
     1    11  1985      455.000000
     2    11  1985      428.000000
     3    11  1985      398.000000
     4    11  1985      372.000000
     5    11  1985      362.000000
     6    11  1985      361.000000
     7    11  1985      366.000000
     8    11  1985      374.000000
     9    11  1985      374.000000
    10    11  1985      365.000000
    11    11  1985      356.000000
    12    11  1985      347.000000
