LÁBREA	-64.800	-7.252
    20     8  1983      501.000000
    21     8  1983      496.000000
    22     8  1983      491.000000
    23     8  1983      486.000000
    24     8  1983      484.000000
    25     8  1983      479.000000
    26     8  1983      473.000000
    27     8  1983      468.000000
    28     8  1983      465.000000
    29     8  1983      461.000000
    30     8  1983      458.000000
    31     8  1983      456.000000
     1     9  1983      454.000000
     2     9  1983      453.000000
     3     9  1983      453.000000
     4     9  1983      453.000000
     5     9  1983      455.000000
     6     9  1983      456.000000
     7     9  1983      456.000000
     8     9  1983      456.000000
     9     9  1983      455.000000
    10     9  1983      454.000000
    11     9  1983      452.000000
    12     9  1983      451.000000
    13     9  1983      452.000000
    14     9  1983      451.000000
    15     9  1983      450.000000
    16     9  1983      448.000000
    17     9  1983      443.000000
    18     9  1983      437.000000
    19     9  1983      432.000000
    20     9  1983      430.000000
    21     9  1983      425.000000
    22     9  1983      423.000000
    23     9  1983      420.000000
    24     9  1983      417.000000
    25     9  1983      416.000000
    26     9  1983      415.000000
    27     9  1983      412.000000
    28     9  1983      409.000000
    29     9  1983      406.000000
    30     9  1983      404.000000
     1    10  1983      403.000000
     2    10  1983      400.000000
     3    10  1983      398.000000
     4    10  1983      397.000000
     5    10  1983      398.000000
     6    10  1983      401.000000
     7    10  1983      404.000000
     8    10  1983      405.000000
     9    10  1983      405.000000
    10    10  1983      403.000000
    11    10  1983      401.000000
    12    10  1983      399.000000
    13    10  1983      397.000000
    14    10  1983      396.000000
    15    10  1983      396.000000
    16    10  1983      397.000000
    17    10  1983      400.000000
    18    10  1983      404.000000
    19    10  1983      412.000000
    20    10  1983      418.000000
    21    10  1983      424.000000
    22    10  1983      429.000000
    23    10  1983      432.000000
    24    10  1983      431.000000
    25    10  1983      429.000000
    26    10  1983      426.000000
    27    10  1983      432.000000
    28    10  1983      431.000000
    29    10  1983      429.000000
    30    10  1983      431.000000
    31    10  1983      435.000000
     1    11  1983      436.000000
     2    11  1983      438.000000
     3    11  1983      442.000000
     4    11  1983      445.000000
     5    11  1983      447.000000
     6    11  1983      448.000000
     7    11  1983      446.000000
     8    11  1983      445.000000
     9    11  1983      445.000000
    10    11  1983      448.000000
    11    11  1983      453.000000
    12    11  1983      465.000000
    13    11  1983      481.000000
    14    11  1983      504.000000
    15    11  1983      531.000000
    16    11  1983      561.000000
    17    11  1983      580.000000
    18    11  1983      594.000000
    19    11  1983      602.000000
    20    11  1983      604.000000
    21    11  1983      601.000000
    22    11  1983      598.000000
    23    11  1983      595.000000
    24    11  1983      591.000000
    25    11  1983      602.000000
    26    11  1983      612.000000
    27    11  1983      626.000000
    28    11  1983      636.000000
    29    11  1983      642.000000
    30    11  1983      644.000000
     1    12  1983      644.000000
     2    12  1983      648.000000
     3    12  1983      651.000000
     4    12  1983      660.000000
     5    12  1983      679.000000
     6    12  1983      708.000000
     7    12  1983      736.000000
     8    12  1983      759.000000
     9    12  1983      786.000000
    10    12  1983      813.000000
    11    12  1983      845.000000
    12    12  1983      879.000000
    13    12  1983      913.000000
    14    12  1983      952.000000
    15    12  1983      984.000000
    16    12  1983     1015.000000
    17    12  1983     1040.000000
    18    12  1983     1062.000000
    19    12  1983     1076.000000
    20    12  1983     1084.000000
    21    12  1983     1093.000000
    22    12  1983     1093.000000
    23    12  1983     1090.000000
    24    12  1983     1084.000000
    25    12  1983     1081.000000
    26    12  1983     1084.000000
    27    12  1983     1095.000000
    28    12  1983     1111.000000
    29    12  1983     1130.000000
    30    12  1983     1145.000000
    31    12  1983     1159.000000
     1     1  1984     1170.000000
     2     1  1984     1178.000000
     3     1  1984     1182.000000
     4     1  1984     1187.000000
     5     1  1984     1194.000000
     6     1  1984     1202.000000
     7     1  1984     1210.000000
     8     1  1984     1222.000000
     9     1  1984     1246.000000
    10     1  1984     1264.000000
    11     1  1984     1280.000000
    12     1  1984     1302.000000
    13     1  1984     1332.000000
    14     1  1984     1355.000000
    15     1  1984     1386.000000
    16     1  1984     1419.000000
    17     1  1984     1446.000000
    18     1  1984     1478.000000
    19     1  1984     1506.000000
    20     1  1984     1530.000000
    21     1  1984     1552.000000
    22     1  1984     1574.000000
    23     1  1984     1595.000000
    24     1  1984     1613.000000
    25     1  1984     1632.000000
    26     1  1984     1647.000000
    27     1  1984     1660.000000
    28     1  1984     1676.000000
    29     1  1984     1689.000000
    30     1  1984     1702.000000
    31     1  1984     1716.000000
     1     2  1984     1728.000000
     2     2  1984     1740.000000
     3     2  1984     1749.000000
     4     2  1984     1759.000000
     5     2  1984     1769.000000
     6     2  1984     1778.000000
     7     2  1984     1789.000000
     8     2  1984     1805.000000
     9     2  1984     1816.000000
    10     2  1984     1824.000000
    11     2  1984     1834.000000
    12     2  1984     1840.000000
    13     2  1984     1846.000000
    14     2  1984     1853.000000
    15     2  1984     1862.000000
    16     2  1984     1873.000000
    17     2  1984     1882.000000
    18     2  1984     1892.000000
    19     2  1984     1900.000000
    20     2  1984     1910.000000
    21     2  1984     1919.000000
    22     2  1984     1924.000000
    23     2  1984     1931.000000
    24     2  1984     1936.000000
    25     2  1984     1944.000000
    26     2  1984     1948.000000
    27     2  1984     1954.000000
    28     2  1984     1958.000000
    29     2  1984     1968.000000
     1     3  1984     1977.000000
     2     3  1984     1986.000000
     3     3  1984     1992.000000
     4     3  1984     2000.000000
     5     3  1984     2002.000000
     6     3  1984     2006.000000
     7     3  1984     2007.000000
     8     3  1984     2008.000000
     9     3  1984     2010.000000
    10     3  1984     2011.000000
    11     3  1984     2012.000000
    12     3  1984     2014.000000
    13     3  1984     2014.000000
    14     3  1984     2014.000000
    15     3  1984     2013.000000
    16     3  1984     2013.000000
    17     3  1984     2013.000000
    18     3  1984     2013.000000
    19     3  1984     2014.000000
    20     3  1984     2015.000000
    21     3  1984     2015.000000
    22     3  1984     2015.000000
    23     3  1984     2016.000000
    24     3  1984     2017.000000
    25     3  1984     2017.000000
    26     3  1984     2018.000000
    27     3  1984     2020.000000
    28     3  1984     2019.000000
    29     3  1984     2020.000000
    30     3  1984     2021.000000
    31     3  1984     2022.000000
     1     4  1984     2022.000000
     2     4  1984     2022.000000
     3     4  1984     2024.000000
     4     4  1984     2026.000000
     5     4  1984     2026.000000
     6     4  1984     2031.000000
     7     4  1984     2031.000000
     8     4  1984     2032.000000
     9     4  1984     2032.000000
    10     4  1984     2033.000000
    11     4  1984     2033.000000
    12     4  1984     2033.000000
    13     4  1984     2032.000000
    14     4  1984     2031.000000
    15     4  1984     2031.000000
    16     4  1984     2031.000000
    17     4  1984     2029.000000
    18     4  1984     2028.000000
    19     4  1984     2028.000000
    20     4  1984     2027.000000
    21     4  1984     2025.000000
    22     4  1984     2026.000000
    23     4  1984     2026.000000
    24     4  1984     2025.000000
    25     4  1984     2024.000000
    26     4  1984     2024.000000
    27     4  1984     2024.000000
    28     4  1984     2023.000000
    29     4  1984     2023.000000
    30     4  1984     2024.000000
     1     5  1984     2024.000000
     2     5  1984     2024.000000
     3     5  1984     2025.000000
     4     5  1984     2024.000000
     5     5  1984     2025.000000
     6     5  1984     2024.000000
     7     5  1984     2024.000000
     8     5  1984     2022.000000
     9     5  1984     2021.000000
    10     5  1984     2021.000000
    11     5  1984     2020.000000
    12     5  1984     2018.000000
    13     5  1984     2017.000000
    14     5  1984     2016.000000
    15     5  1984     2014.000000
    16     5  1984     2012.000000
    17     5  1984     2008.000000
    18     5  1984     2005.000000
    19     5  1984     2001.000000
    20     5  1984     1996.000000
    21     5  1984     1990.000000
    22     5  1984     1984.000000
    23     5  1984     1973.000000
    24     5  1984     1960.000000
    25     5  1984     1952.000000
    26     5  1984     1941.000000
    27     5  1984     1928.000000
