CAREIRO	-59.833	-3.196
    19     7  1983     1265.000000
    20     7  1983     1258.000000
    21     7  1983     1252.000000
    22     7  1983     1243.000000
    23     7  1983     1234.000000
    24     7  1983     1225.000000
    25     7  1983     1215.000000
    26     7  1983     1203.000000
    27     7  1983     1191.000000
    28     7  1983     1179.000000
    29     7  1983     1169.000000
    30     7  1983     1155.000000
    31     7  1983     1141.000000
     1     8  1983     1127.000000
     2     8  1983     1112.000000
     3     8  1983     1096.000000
     4     8  1983     1080.000000
     5     8  1983     1062.000000
     6     8  1983     1048.000000
     7     8  1983     1034.000000
     8     8  1983     1018.000000
     9     8  1983     1003.000000
    10     8  1983      989.000000
    11     8  1983      973.000000
    12     8  1983      957.000000
    13     8  1983      943.000000
    14     8  1983      927.000000
    15     8  1983      913.000000
    16     8  1983      898.000000
    17     8  1983      885.000000
    18     8  1983      873.000000
    19     8  1983      858.000000
    20     8  1983      845.000000
    21     8  1983      833.000000
    22     8  1983      819.000000
    23     8  1983      807.000000
    24     8  1983      795.000000
    25     8  1983      786.000000
    26     8  1983      775.000000
    27     8  1983      767.000000
    28     8  1983      758.000000
    29     8  1983      750.000000
    30     8  1983      740.000000
    31     8  1983      732.000000
     1     9  1983      723.000000
     2     9  1983      715.000000
     3     9  1983      707.000000
     4     9  1983      698.000000
     5     9  1983      691.000000
     6     9  1983      684.000000
     7     9  1983      679.000000
     8     9  1983      675.000000
     9     9  1983      671.000000
    10     9  1983      669.000000
    11     9  1983      668.000000
    12     9  1983      666.000000
    13     9  1983      664.000000
    14     9  1983      662.000000
    15     9  1983      659.000000
    16     9  1983      656.000000
    17     9  1983      653.000000
    18     9  1983      650.000000
    19     9  1983      647.000000
    20     9  1983      644.000000
    21     9  1983      641.000000
    22     9  1983      639.000000
    23     9  1983      638.000000
    24     9  1983      636.000000
    25     9  1983      634.000000
    26     9  1983      632.000000
    27     9  1983      630.000000
    28     9  1983      626.000000
    29     9  1983      621.000000
    30     9  1983      618.000000
     1    10  1983      613.000000
     2    10  1983      607.000000
     3    10  1983      603.000000
     4    10  1983      596.000000
     5    10  1983      591.000000
     6    10  1983      584.000000
     7    10  1983      577.000000
     8    10  1983      570.000000
     9    10  1983      562.000000
    10    10  1983      555.000000
    11    10  1983      549.000000
    12    10  1983      541.000000
    13    10  1983      532.000000
    14    10  1983      521.000000
    15    10  1983      511.000000
    16    10  1983      501.000000
    17    10  1983      492.000000
    18    10  1983      484.000000
    19    10  1983      479.000000
    20    10  1983      475.000000
    21    10  1983      473.000000
    22    10  1983      471.000000
    23    10  1983      471.000000
