CARACARAÍ	-61.124	1.821
     2     9  1983      273.000000
     3     9  1983      275.000000
     4     9  1983      267.000000
     5     9  1983      238.000000
     6     9  1983      210.000000
     7     9  1983      194.000000
     8     9  1983      184.000000
     9     9  1983      177.000000
    10     9  1983      169.000000
    11     9  1983      159.000000
    12     9  1983      154.000000
    13     9  1983      150.000000
    14     9  1983      147.000000
    15     9  1983      145.000000
    16     9  1983      145.000000
    17     9  1983      144.000000
    18     9  1983      141.000000
    19     9  1983      141.000000
    20     9  1983      139.000000
    21     9  1983      134.000000
    22     9  1983      130.000000
    23     9  1983      127.000000
    24     9  1983      120.000000
    25     9  1983      115.000000
    26     9  1983      114.000000
    27     9  1983      113.000000
    28     9  1983      112.000000
    29     9  1983      112.000000
    30     9  1983      111.000000
     1    10  1983      111.000000
     2    10  1983      110.000000
     3    10  1983      108.000000
     4    10  1983      106.000000
     5    10  1983      104.000000
     6    10  1983      103.000000
     7    10  1983      102.000000
     8    10  1983      100.000000
     9    10  1983       99.000000
    10    10  1983       99.000000
    11    10  1983       97.000000
    12    10  1983       94.000000
    13    10  1983       88.000000
    14    10  1983       81.000000
    15    10  1983       76.000000
    16    10  1983       73.000000
    17    10  1983       68.000000
    18    10  1983       63.000000
    19    10  1983       66.000000
    20    10  1983       64.000000
    21    10  1983       64.000000
    22    10  1983       63.000000
    23    10  1983       62.000000
    24    10  1983       62.000000
    25    10  1983       61.000000
    26    10  1983       61.000000
    27    10  1983       61.000000
    28    10  1983       60.000000
    29    10  1983       64.000000
    30    10  1983       69.000000
    31    10  1983       75.000000
     1    11  1983       83.000000
     2    11  1983       84.000000
     3    11  1983       86.000000
     4    11  1983       92.000000
     5    11  1983       93.000000
     6    11  1983       92.000000
     7    11  1983       91.000000
     8    11  1983       88.000000
     9    11  1983       85.000000
    10    11  1983       83.000000
    11    11  1983       77.000000
    12    11  1983       73.000000
    13    11  1983       70.000000
    14    11  1983       73.000000
    15    11  1983       80.000000
    16    11  1983       87.000000
    17    11  1983       85.000000
    18    11  1983       80.000000
    19    11  1983       77.000000
    20    11  1983       65.000000
    21    11  1983       61.000000
    22    11  1983       58.000000
    23    11  1983       54.000000
    24    11  1983       50.000000
    25    11  1983       48.000000
    26    11  1983       47.000000
    27    11  1983       49.000000
    28    11  1983       44.000000
    29    11  1983       39.000000
    30    11  1983       32.000000
     1    12  1983       39.000000
     2    12  1983       46.000000
     3    12  1983       53.000000
     4    12  1983       59.000000
     5    12  1983       63.000000
     6    12  1983       69.000000
     7    12  1983       73.000000
     8    12  1983       80.000000
     9    12  1983       85.000000
    10    12  1983       90.000000
    11    12  1983       94.000000
    12    12  1983      100.000000
    13    12  1983      108.000000
    14    12  1983      113.000000
    15    12  1983      120.000000
    16    12  1983      126.000000
    17    12  1983      130.000000
    18    12  1983      135.000000
    19    12  1983      131.000000
