SANTOANTÔNIODOIÇÁ	-67.933	-3.083
    23     8  1983      253.000000
    24     8  1983      243.000000
    25     8  1983      235.000000
    26     8  1983      231.000000
    27     8  1983      243.000000
    28     8  1983      255.000000
    29     8  1983      268.000000
    30     8  1983      280.000000
    31     8  1983      293.000000
     1     9  1983      304.000000
     2     9  1983      314.000000
     3     9  1983      323.000000
     4     9  1983      332.000000
     5     9  1983      340.000000
     6     9  1983      348.000000
     7     9  1983      357.000000
     8     9  1983      368.000000
     9     9  1983      377.000000
    10     9  1983      385.000000
    11     9  1983      391.000000
    12     9  1983      393.000000
    13     9  1983      401.000000
    14     9  1983      416.000000
    15     9  1983      426.000000
    16     9  1983      433.000000
    17     9  1983      433.000000
    18     9  1983      431.000000
    19     9  1983      429.000000
    20     9  1983      431.000000
    21     9  1983      434.000000
    22     9  1983      438.000000
    23     9  1983      441.000000
    24     9  1983      444.000000
    25     9  1983      442.000000
    26     9  1983      437.000000
    27     9  1983      426.000000
    28     9  1983      414.000000
    29     9  1983      399.000000
    30     9  1983      383.000000
     1    10  1983      373.000000
     2    10  1983      364.000000
     3    10  1983      351.000000
     4    10  1983      342.000000
     5    10  1983      337.000000
     6    10  1983      336.000000
     7    10  1983      335.000000
     8    10  1983      339.000000
     9    10  1983      351.000000
    10    10  1983      361.000000
    11    10  1983      370.000000
    12    10  1983      394.000000
    13    10  1983      422.000000
    14    10  1983      445.000000
    15    10  1983      465.000000
    16    10  1983      481.000000
    17    10  1983      494.000000
    18    10  1983      505.000000
    19    10  1983      515.000000
    20    10  1983      526.000000
    21    10  1983      526.000000
    22    10  1983      525.000000
    23    10  1983      531.000000
    24    10  1983      537.000000
    25    10  1983      543.000000
    26    10  1983      545.000000
    27    10  1983      543.000000
    28    10  1983      540.000000
    29    10  1983      541.000000
    30    10  1983      545.000000
    31    10  1983      559.000000
     1    11  1983      568.000000
     2    11  1983      578.000000
     3    11  1983      600.000000
     4    11  1983      626.000000
     5    11  1983      648.000000
     6    11  1983      665.000000
     7    11  1983      680.000000
     8    11  1983      688.000000
     9    11  1983      695.000000
    10    11  1983      706.000000
    11    11  1983      714.000000
    12    11  1983      725.000000
    13    11  1983      737.000000
    14    11  1983      746.000000
    15    11  1983      753.000000
    16    11  1983      759.000000
    17    11  1983      760.000000
    18    11  1983      761.000000
    19    11  1983      764.000000
    20    11  1983      766.000000
    21    11  1983      766.000000
    22    11  1983      761.000000
    23    11  1983      755.000000
    24    11  1983      748.000000
    25    11  1983      740.000000
    26    11  1983      732.000000
    27    11  1983      726.000000
    28    11  1983      719.000000
    29    11  1983      715.000000
    30    11  1983      714.000000
     1    12  1983      712.000000
     2    12  1983      714.000000
     3    12  1983      731.000000
     4    12  1983      750.000000
